
Parameters:
DATA_PATH=./data/
DATASET=flickr
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=64
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=gcn
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=True
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with MaxK CUDA kernel acceleration
Graph name for metadata: flickr
Kernel mode: auto
Creating GCN model...
Using MaxK-accelerated GCN model
Model parameters: 327,431 total, 327,431 trainable
Graph statistics: 89250 nodes, 989006 edges
Average degree: 11.08
Feature dimension: 500, Hidden dimension: 256
MaxK value: 64, Nonlinearity: maxk
Starting training...
Epoch 0000/1000| Loss 51.0989 | Train Accuracy 0.0588 | Val Accuracy 0.0574 | Test Accuracy 0.0605 | Best val. Accuracy 0.0574 | Best test Accuracy 0.0605
Epoch 0001/1000| Loss 42.8378 | Train Accuracy 0.0972 | Val Accuracy 0.0954 | Test Accuracy 0.0930 | Best val. Accuracy 0.0954 | Best test Accuracy 0.0930
Epoch 0002/1000| Loss 29.3293 | Train Accuracy 0.2397 | Val Accuracy 0.2383 | Test Accuracy 0.2358 | Best val. Accuracy 0.2383 | Best test Accuracy 0.2358
Epoch 0003/1000| Loss 21.3061 | Train Accuracy 0.1166 | Val Accuracy 0.1174 | Test Accuracy 0.1191 | Best val. Accuracy 0.2383 | Best test Accuracy 0.2358
Epoch 0004/1000| Loss 22.2604 | Train Accuracy 0.4216 | Val Accuracy 0.4239 | Test Accuracy 0.4234 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0005/1000| Loss 30.7807 | Train Accuracy 0.4216 | Val Accuracy 0.4239 | Test Accuracy 0.4234 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0006/1000| Loss 36.6659 | Train Accuracy 0.4217 | Val Accuracy 0.4237 | Test Accuracy 0.4238 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0007/1000| Loss 35.6008 | Train Accuracy 0.4013 | Val Accuracy 0.4012 | Test Accuracy 0.4015 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0008/1000| Loss 33.0031 | Train Accuracy 0.2859 | Val Accuracy 0.2836 | Test Accuracy 0.2832 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0009/1000| Loss 37.4938 | Train Accuracy 0.3096 | Val Accuracy 0.3071 | Test Accuracy 0.3050 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0010/1000| Loss 34.7400 | Train Accuracy 0.1157 | Val Accuracy 0.1155 | Test Accuracy 0.1156 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
