
Parameters:
DATA_PATH=./data/
DATASET=flickr
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=8
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=gcn
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=False
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with DGL built-in convolution modules
Creating GCN model...
Using standard DGL GCN model
Model parameters: 328,199 total, 328,199 trainable
Graph statistics: 89250 nodes, 989006 edges
Average degree: 11.08
Feature dimension: 500, Hidden dimension: 256
MaxK value: 8, Nonlinearity: maxk
Starting training...
Epoch 0000/1000| Loss 1.9727 | Train Accuracy 0.2866 | Val Accuracy 0.2846 | Test Accuracy 0.2834 | Best val. Accuracy 0.2846 | Best test Accuracy 0.2834
Epoch 0001/1000| Loss 1.8175 | Train Accuracy 0.2583 | Val Accuracy 0.2580 | Test Accuracy 0.2547 | Best val. Accuracy 0.2846 | Best test Accuracy 0.2834
Epoch 0002/1000| Loss 1.8485 | Train Accuracy 0.4216 | Val Accuracy 0.4239 | Test Accuracy 0.4234 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0003/1000| Loss 1.8085 | Train Accuracy 0.4216 | Val Accuracy 0.4239 | Test Accuracy 0.4234 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0004/1000| Loss 1.6683 | Train Accuracy 0.4216 | Val Accuracy 0.4239 | Test Accuracy 0.4234 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0005/1000| Loss 1.6569 | Train Accuracy 0.4216 | Val Accuracy 0.4239 | Test Accuracy 0.4234 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0006/1000| Loss 1.6243 | Train Accuracy 0.4225 | Val Accuracy 0.4246 | Test Accuracy 0.4244 | Best val. Accuracy 0.4246 | Best test Accuracy 0.4244
Epoch 0007/1000| Loss 1.6084 | Train Accuracy 0.4214 | Val Accuracy 0.4243 | Test Accuracy 0.4210 | Best val. Accuracy 0.4246 | Best test Accuracy 0.4244
Epoch 0008/1000| Loss 1.6058 | Train Accuracy 0.4247 | Val Accuracy 0.4250 | Test Accuracy 0.4262 | Best val. Accuracy 0.4250 | Best test Accuracy 0.4262
Epoch 0009/1000| Loss 1.5903 | Train Accuracy 0.4216 | Val Accuracy 0.4241 | Test Accuracy 0.4235 | Best val. Accuracy 0.4250 | Best test Accuracy 0.4262
Epoch 0010/1000| Loss 1.5834 | Train Accuracy 0.4218 | Val Accuracy 0.4242 | Test Accuracy 0.4238 | Best val. Accuracy 0.4250 | Best test Accuracy 0.4262
Epoch 0011/1000| Loss 1.5796 | Train Accuracy 0.4219 | Val Accuracy 0.4246 | Test Accuracy 0.4243 | Best val. Accuracy 0.4250 | Best test Accuracy 0.4262
Epoch 0012/1000| Loss 1.5783 | Train Accuracy 0.4231 | Val Accuracy 0.4252 | Test Accuracy 0.4256 | Best val. Accuracy 0.4252 | Best test Accuracy 0.4256
