
Parameters:
DATA_PATH=./data/
DATASET=flickr
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=32
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=gin
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=False
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with DGL built-in convolution modules
Creating GIN model...
Using standard DGL GIN model
Model parameters: 327,434 total, 327,434 trainable
Graph statistics: 89250 nodes, 989006 edges
Average degree: 11.08
Feature dimension: 500, Hidden dimension: 256
MaxK value: 32, Nonlinearity: maxk
Starting training...
Epoch 0000/1000| Loss 12777.1953 | Train Accuracy 0.4216 | Val Accuracy 0.4239 | Test Accuracy 0.4234 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0001/1000| Loss 79198.4219 | Train Accuracy 0.2583 | Val Accuracy 0.2580 | Test Accuracy 0.2547 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0002/1000| Loss 39823.1133 | Train Accuracy 0.4216 | Val Accuracy 0.4239 | Test Accuracy 0.4234 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0003/1000| Loss 12194.7539 | Train Accuracy 0.0618 | Val Accuracy 0.0610 | Test Accuracy 0.0623 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0004/1000| Loss 2915.9197 | Train Accuracy 0.2583 | Val Accuracy 0.2581 | Test Accuracy 0.2548 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0005/1000| Loss 1577.2632 | Train Accuracy 0.4216 | Val Accuracy 0.4239 | Test Accuracy 0.4234 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0006/1000| Loss 587.3705 | Train Accuracy 0.1196 | Val Accuracy 0.1154 | Test Accuracy 0.1231 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0007/1000| Loss 266.1726 | Train Accuracy 0.2590 | Val Accuracy 0.2593 | Test Accuracy 0.2554 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0008/1000| Loss 144.4759 | Train Accuracy 0.1609 | Val Accuracy 0.1616 | Test Accuracy 0.1634 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0009/1000| Loss 99.6371 | Train Accuracy 0.2615 | Val Accuracy 0.2621 | Test Accuracy 0.2585 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0010/1000| Loss 66.6632 | Train Accuracy 0.0735 | Val Accuracy 0.0709 | Test Accuracy 0.0725 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
