
Parameters:
DATA_PATH=./data/
DATASET=flickr
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=8
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=gin
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=True
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with MaxK CUDA kernel acceleration
Graph name for metadata: flickr
Kernel mode: auto
Creating GIN model...
Using MaxK-accelerated GIN model
Model parameters: 327,434 total, 327,434 trainable
Graph statistics: 89250 nodes, 989006 edges
Average degree: 11.08
Feature dimension: 500, Hidden dimension: 256
MaxK value: 8, Nonlinearity: maxk
Starting training...
Epoch 0000/1000| Loss 2.1425 | Train Accuracy 0.4216 | Val Accuracy 0.4239 | Test Accuracy 0.4234 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0001/1000| Loss 1.7177 | Train Accuracy 0.4032 | Val Accuracy 0.4050 | Test Accuracy 0.4084 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0002/1000| Loss 1.6481 | Train Accuracy 0.3418 | Val Accuracy 0.3400 | Test Accuracy 0.3388 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0003/1000| Loss 2.0498 | Train Accuracy 0.4189 | Val Accuracy 0.4213 | Test Accuracy 0.4196 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0004/1000| Loss 1.6337 | Train Accuracy 0.3905 | Val Accuracy 0.3895 | Test Accuracy 0.3917 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0005/1000| Loss 1.6721 | Train Accuracy 0.4216 | Val Accuracy 0.4238 | Test Accuracy 0.4234 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0006/1000| Loss 1.8007 | Train Accuracy 0.4212 | Val Accuracy 0.4240 | Test Accuracy 0.4239 | Best val. Accuracy 0.4240 | Best test Accuracy 0.4239
Epoch 0007/1000| Loss 1.6363 | Train Accuracy 0.4232 | Val Accuracy 0.4267 | Test Accuracy 0.4262 | Best val. Accuracy 0.4267 | Best test Accuracy 0.4262
Epoch 0008/1000| Loss 1.6506 | Train Accuracy 0.4219 | Val Accuracy 0.4239 | Test Accuracy 0.4234 | Best val. Accuracy 0.4267 | Best test Accuracy 0.4262
Epoch 0009/1000| Loss 1.6073 | Train Accuracy 0.4272 | Val Accuracy 0.4307 | Test Accuracy 0.4297 | Best val. Accuracy 0.4307 | Best test Accuracy 0.4297
Epoch 0010/1000| Loss 1.6245 | Train Accuracy 0.4226 | Val Accuracy 0.4247 | Test Accuracy 0.4250 | Best val. Accuracy 0.4307 | Best test Accuracy 0.4297
Epoch 0011/1000| Loss 1.5982 | Train Accuracy 0.3731 | Val Accuracy 0.3754 | Test Accuracy 0.3731 | Best val. Accuracy 0.4307 | Best test Accuracy 0.4297
Epoch 0012/1000| Loss 1.6231 | Train Accuracy 0.2968 | Val Accuracy 0.2993 | Test Accuracy 0.2939 | Best val. Accuracy 0.4307 | Best test Accuracy 0.4297
Epoch 0013/1000| Loss 1.6323 | Train Accuracy 0.4250 | Val Accuracy 0.4260 | Test Accuracy 0.4264 | Best val. Accuracy 0.4307 | Best test Accuracy 0.4297
Epoch 0014/1000| Loss 1.6258 | Train Accuracy 0.4216 | Val Accuracy 0.4239 | Test Accuracy 0.4234 | Best val. Accuracy 0.4307 | Best test Accuracy 0.4297
Epoch 0015/1000| Loss 1.5989 | Train Accuracy 0.4216 | Val Accuracy 0.4239 | Test Accuracy 0.4234 | Best val. Accuracy 0.4307 | Best test Accuracy 0.4297
Epoch 0016/1000| Loss 1.6108 | Train Accuracy 0.4216 | Val Accuracy 0.4239 | Test Accuracy 0.4234 | Best val. Accuracy 0.4307 | Best test Accuracy 0.4297
Epoch 0017/1000| Loss 1.6124 | Train Accuracy 0.4216 | Val Accuracy 0.4238 | Test Accuracy 0.4234 | Best val. Accuracy 0.4307 | Best test Accuracy 0.4297
Epoch 0018/1000| Loss 1.6058 | Train Accuracy 0.4216 | Val Accuracy 0.4239 | Test Accuracy 0.4234 | Best val. Accuracy 0.4307 | Best test Accuracy 0.4297
Epoch 0019/1000| Loss 1.6354 | Train Accuracy 0.4216 | Val Accuracy 0.4238 | Test Accuracy 0.4234 | Best val. Accuracy 0.4307 | Best test Accuracy 0.4297
Epoch 0020: Avg Forward 7.241ms, Avg Backward 3.169ms, Total per epoch 10.410ms
Epoch 0020/1000| Loss 1.6271 | Train Accuracy 0.4195 | Val Accuracy 0.4212 | Test Accuracy 0.4214 | Best val. Accuracy 0.4307 | Best test Accuracy 0.4297
Epoch 0021/1000| Loss 1.6082 | Train Accuracy 0.4216 | Val Accuracy 0.4238 | Test Accuracy 0.4234 | Best val. Accuracy 0.4307 | Best test Accuracy 0.4297
Epoch 0022/1000| Loss 1.6003 | Train Accuracy 0.4216 | Val Accuracy 0.4238 | Test Accuracy 0.4234 | Best val. Accuracy 0.4307 | Best test Accuracy 0.4297
Epoch 0023/1000| Loss 1.6029 | Train Accuracy 0.4216 | Val Accuracy 0.4239 | Test Accuracy 0.4234 | Best val. Accuracy 0.4307 | Best test Accuracy 0.4297
Epoch 0024/1000| Loss 1.6014 | Train Accuracy 0.4216 | Val Accuracy 0.4239 | Test Accuracy 0.4234 | Best val. Accuracy 0.4307 | Best test Accuracy 0.4297
Epoch 0025/1000| Loss 1.6025 | Train Accuracy 0.4216 | Val Accuracy 0.4239 | Test Accuracy 0.4234 | Best val. Accuracy 0.4307 | Best test Accuracy 0.4297
Epoch 0026/1000| Loss 1.6157 | Train Accuracy 0.4216 | Val Accuracy 0.4239 | Test Accuracy 0.4234 | Best val. Accuracy 0.4307 | Best test Accuracy 0.4297
Epoch 0027/1000| Loss 1.5922 | Train Accuracy 0.4216 | Val Accuracy 0.4239 | Test Accuracy 0.4234 | Best val. Accuracy 0.4307 | Best test Accuracy 0.4297
