
Parameters:
DATA_PATH=./data/
DATASET=flickr
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=32
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=sage
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=True
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with MaxK CUDA kernel acceleration
Graph name for metadata: flickr
Kernel mode: auto
Creating SAGE model...
Using MaxK-accelerated SAGE model
Model parameters: 524,039 total, 524,039 trainable
Graph statistics: 89250 nodes, 989006 edges
Average degree: 11.08
Feature dimension: 500, Hidden dimension: 256
MaxK value: 32, Nonlinearity: maxk
Starting training...
Epoch 0000/1000| Loss 7.7800 | Train Accuracy 0.4216 | Val Accuracy 0.4239 | Test Accuracy 0.4234 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0001/1000| Loss 16.1142 | Train Accuracy 0.2583 | Val Accuracy 0.2580 | Test Accuracy 0.2547 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0002/1000| Loss 5.2725 | Train Accuracy 0.2583 | Val Accuracy 0.2580 | Test Accuracy 0.2547 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0003/1000| Loss 4.8014 | Train Accuracy 0.2582 | Val Accuracy 0.2578 | Test Accuracy 0.2546 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0004/1000| Loss 2.7593 | Train Accuracy 0.2428 | Val Accuracy 0.2409 | Test Accuracy 0.2400 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0005/1000| Loss 2.1848 | Train Accuracy 0.1691 | Val Accuracy 0.1713 | Test Accuracy 0.1651 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0006/1000| Loss 2.3229 | Train Accuracy 0.2530 | Val Accuracy 0.2538 | Test Accuracy 0.2494 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0007/1000| Loss 5.6869 | Train Accuracy 0.3987 | Val Accuracy 0.4016 | Test Accuracy 0.4008 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0008/1000| Loss 2.0479 | Train Accuracy 0.3062 | Val Accuracy 0.3061 | Test Accuracy 0.3075 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0009/1000| Loss 3.2328 | Train Accuracy 0.4214 | Val Accuracy 0.4239 | Test Accuracy 0.4233 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0010/1000| Loss 2.4798 | Train Accuracy 0.4215 | Val Accuracy 0.4238 | Test Accuracy 0.4234 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0011/1000| Loss 2.5985 | Train Accuracy 0.2671 | Val Accuracy 0.2640 | Test Accuracy 0.2595 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0012/1000| Loss 2.3718 | Train Accuracy 0.2774 | Val Accuracy 0.2762 | Test Accuracy 0.2720 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0013/1000| Loss 1.8835 | Train Accuracy 0.3542 | Val Accuracy 0.3530 | Test Accuracy 0.3502 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0014/1000| Loss 1.9527 | Train Accuracy 0.4181 | Val Accuracy 0.4204 | Test Accuracy 0.4200 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0015/1000| Loss 1.7561 | Train Accuracy 0.4188 | Val Accuracy 0.4206 | Test Accuracy 0.4204 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0016/1000| Loss 1.7851 | Train Accuracy 0.4142 | Val Accuracy 0.4166 | Test Accuracy 0.4148 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0017/1000| Loss 1.7142 | Train Accuracy 0.4018 | Val Accuracy 0.4024 | Test Accuracy 0.4030 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0018/1000| Loss 1.6834 | Train Accuracy 0.0768 | Val Accuracy 0.0765 | Test Accuracy 0.0768 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0019/1000| Loss 1.9318 | Train Accuracy 0.3890 | Val Accuracy 0.3916 | Test Accuracy 0.3929 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0020: Avg Forward 7.634ms, Avg Backward 3.266ms, Total per epoch 10.900ms
Epoch 0020/1000| Loss 1.9003 | Train Accuracy 0.3822 | Val Accuracy 0.3759 | Test Accuracy 0.3749 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0021/1000| Loss 1.8352 | Train Accuracy 0.4302 | Val Accuracy 0.4317 | Test Accuracy 0.4295 | Best val. Accuracy 0.4317 | Best test Accuracy 0.4295
Epoch 0022/1000| Loss 1.7662 | Train Accuracy 0.4176 | Val Accuracy 0.4195 | Test Accuracy 0.4199 | Best val. Accuracy 0.4317 | Best test Accuracy 0.4295
Epoch 0023/1000| Loss 1.6891 | Train Accuracy 0.4191 | Val Accuracy 0.4210 | Test Accuracy 0.4210 | Best val. Accuracy 0.4317 | Best test Accuracy 0.4295
Epoch 0024/1000| Loss 1.6574 | Train Accuracy 0.4190 | Val Accuracy 0.4210 | Test Accuracy 0.4204 | Best val. Accuracy 0.4317 | Best test Accuracy 0.4295
Epoch 0025/1000| Loss 1.6618 | Train Accuracy 0.4198 | Val Accuracy 0.4221 | Test Accuracy 0.4210 | Best val. Accuracy 0.4317 | Best test Accuracy 0.4295
Epoch 0026/1000| Loss 1.6454 | Train Accuracy 0.4193 | Val Accuracy 0.4229 | Test Accuracy 0.4211 | Best val. Accuracy 0.4317 | Best test Accuracy 0.4295
Epoch 0027/1000| Loss 1.6332 | Train Accuracy 0.3608 | Val Accuracy 0.3666 | Test Accuracy 0.3636 | Best val. Accuracy 0.4317 | Best test Accuracy 0.4295
Epoch 0028/1000| Loss 1.6410 | Train Accuracy 0.3983 | Val Accuracy 0.4020 | Test Accuracy 0.3971 | Best val. Accuracy 0.4317 | Best test Accuracy 0.4295
Epoch 0029/1000| Loss 1.6493 | Train Accuracy 0.4172 | Val Accuracy 0.4167 | Test Accuracy 0.4161 | Best val. Accuracy 0.4317 | Best test Accuracy 0.4295
Epoch 0030/1000| Loss 1.6420 | Train Accuracy 0.3726 | Val Accuracy 0.3720 | Test Accuracy 0.3746 | Best val. Accuracy 0.4317 | Best test Accuracy 0.4295
Epoch 0031/1000| Loss 1.6320 | Train Accuracy 0.4415 | Val Accuracy 0.4427 | Test Accuracy 0.4442 | Best val. Accuracy 0.4427 | Best test Accuracy 0.4442
Epoch 0032/1000| Loss 1.6385 | Train Accuracy 0.4516 | Val Accuracy 0.4507 | Test Accuracy 0.4539 | Best val. Accuracy 0.4507 | Best test Accuracy 0.4539
Epoch 0033/1000| Loss 1.6204 | Train Accuracy 0.4618 | Val Accuracy 0.4638 | Test Accuracy 0.4605 | Best val. Accuracy 0.4638 | Best test Accuracy 0.4605
Epoch 0034/1000| Loss 1.5913 | Train Accuracy 0.4687 | Val Accuracy 0.4675 | Test Accuracy 0.4649 | Best val. Accuracy 0.4675 | Best test Accuracy 0.4649
Epoch 0035/1000| Loss 1.5760 | Train Accuracy 0.4760 | Val Accuracy 0.4753 | Test Accuracy 0.4724 | Best val. Accuracy 0.4753 | Best test Accuracy 0.4724
Epoch 0036/1000| Loss 1.5645 | Train Accuracy 0.4700 | Val Accuracy 0.4676 | Test Accuracy 0.4648 | Best val. Accuracy 0.4753 | Best test Accuracy 0.4724
Epoch 0037/1000| Loss 1.5591 | Train Accuracy 0.4747 | Val Accuracy 0.4736 | Test Accuracy 0.4756 | Best val. Accuracy 0.4753 | Best test Accuracy 0.4724
Epoch 0038/1000| Loss 1.5580 | Train Accuracy 0.4642 | Val Accuracy 0.4635 | Test Accuracy 0.4628 | Best val. Accuracy 0.4753 | Best test Accuracy 0.4724
Epoch 0039/1000| Loss 1.5631 | Train Accuracy 0.4547 | Val Accuracy 0.4520 | Test Accuracy 0.4535 | Best val. Accuracy 0.4753 | Best test Accuracy 0.4724
Epoch 0040: Avg Forward 7.723ms, Avg Backward 3.271ms, Total per epoch 10.994ms
Epoch 0040/1000| Loss 1.5489 | Train Accuracy 0.4578 | Val Accuracy 0.4542 | Test Accuracy 0.4570 | Best val. Accuracy 0.4753 | Best test Accuracy 0.4724
Epoch 0041/1000| Loss 1.5484 | Train Accuracy 0.4769 | Val Accuracy 0.4767 | Test Accuracy 0.4786 | Best val. Accuracy 0.4767 | Best test Accuracy 0.4786
Epoch 0042/1000| Loss 1.5444 | Train Accuracy 0.4765 | Val Accuracy 0.4736 | Test Accuracy 0.4745 | Best val. Accuracy 0.4767 | Best test Accuracy 0.4786
Epoch 0043/1000| Loss 1.5387 | Train Accuracy 0.4839 | Val Accuracy 0.4823 | Test Accuracy 0.4804 | Best val. Accuracy 0.4823 | Best test Accuracy 0.4804
Epoch 0044/1000| Loss 1.5280 | Train Accuracy 0.4841 | Val Accuracy 0.4821 | Test Accuracy 0.4827 | Best val. Accuracy 0.4823 | Best test Accuracy 0.4804
Epoch 0045/1000| Loss 1.5293 | Train Accuracy 0.4549 | Val Accuracy 0.4531 | Test Accuracy 0.4516 | Best val. Accuracy 0.4823 | Best test Accuracy 0.4804
Epoch 0046/1000| Loss 1.5401 | Train Accuracy 0.4571 | Val Accuracy 0.4516 | Test Accuracy 0.4542 | Best val. Accuracy 0.4823 | Best test Accuracy 0.4804
Epoch 0047/1000| Loss 1.5866 | Train Accuracy 0.4828 | Val Accuracy 0.4827 | Test Accuracy 0.4795 | Best val. Accuracy 0.4827 | Best test Accuracy 0.4795
Epoch 0048/1000| Loss 1.5177 | Train Accuracy 0.4477 | Val Accuracy 0.4451 | Test Accuracy 0.4435 | Best val. Accuracy 0.4827 | Best test Accuracy 0.4795
Epoch 0049/1000| Loss 1.5433 | Train Accuracy 0.4806 | Val Accuracy 0.4796 | Test Accuracy 0.4765 | Best val. Accuracy 0.4827 | Best test Accuracy 0.4795
Epoch 0050/1000| Loss 1.5212 | Train Accuracy 0.4619 | Val Accuracy 0.4575 | Test Accuracy 0.4606 | Best val. Accuracy 0.4827 | Best test Accuracy 0.4795
Epoch 0051/1000| Loss 1.5279 | Train Accuracy 0.4574 | Val Accuracy 0.4474 | Test Accuracy 0.4503 | Best val. Accuracy 0.4827 | Best test Accuracy 0.4795
Epoch 0052/1000| Loss 1.5363 | Train Accuracy 0.4569 | Val Accuracy 0.4482 | Test Accuracy 0.4487 | Best val. Accuracy 0.4827 | Best test Accuracy 0.4795
Epoch 0053/1000| Loss 1.5298 | Train Accuracy 0.4511 | Val Accuracy 0.4453 | Test Accuracy 0.4456 | Best val. Accuracy 0.4827 | Best test Accuracy 0.4795
Epoch 0054/1000| Loss 1.5315 | Train Accuracy 0.4586 | Val Accuracy 0.4544 | Test Accuracy 0.4544 | Best val. Accuracy 0.4827 | Best test Accuracy 0.4795
Epoch 0055/1000| Loss 1.5398 | Train Accuracy 0.4787 | Val Accuracy 0.4736 | Test Accuracy 0.4741 | Best val. Accuracy 0.4827 | Best test Accuracy 0.4795
Epoch 0056/1000| Loss 1.5211 | Train Accuracy 0.4655 | Val Accuracy 0.4611 | Test Accuracy 0.4653 | Best val. Accuracy 0.4827 | Best test Accuracy 0.4795
Epoch 0057/1000| Loss 1.5195 | Train Accuracy 0.4524 | Val Accuracy 0.4486 | Test Accuracy 0.4525 | Best val. Accuracy 0.4827 | Best test Accuracy 0.4795
Epoch 0058/1000| Loss 1.5325 | Train Accuracy 0.4702 | Val Accuracy 0.4680 | Test Accuracy 0.4697 | Best val. Accuracy 0.4827 | Best test Accuracy 0.4795
Epoch 0059/1000| Loss 1.5116 | Train Accuracy 0.4705 | Val Accuracy 0.4679 | Test Accuracy 0.4682 | Best val. Accuracy 0.4827 | Best test Accuracy 0.4795
Epoch 0060: Avg Forward 7.756ms, Avg Backward 3.274ms, Total per epoch 11.030ms
Epoch 0060/1000| Loss 1.5359 | Train Accuracy 0.4809 | Val Accuracy 0.4768 | Test Accuracy 0.4764 | Best val. Accuracy 0.4827 | Best test Accuracy 0.4795
Epoch 0061/1000| Loss 1.5041 | Train Accuracy 0.4742 | Val Accuracy 0.4661 | Test Accuracy 0.4699 | Best val. Accuracy 0.4827 | Best test Accuracy 0.4795
Epoch 0062/1000| Loss 1.5111 | Train Accuracy 0.4816 | Val Accuracy 0.4801 | Test Accuracy 0.4798 | Best val. Accuracy 0.4827 | Best test Accuracy 0.4795
Epoch 0063/1000| Loss 1.4983 | Train Accuracy 0.4835 | Val Accuracy 0.4802 | Test Accuracy 0.4799 | Best val. Accuracy 0.4827 | Best test Accuracy 0.4795
Epoch 0064/1000| Loss 1.5001 | Train Accuracy 0.4845 | Val Accuracy 0.4806 | Test Accuracy 0.4827 | Best val. Accuracy 0.4827 | Best test Accuracy 0.4795
Epoch 0065/1000| Loss 1.5047 | Train Accuracy 0.4785 | Val Accuracy 0.4740 | Test Accuracy 0.4767 | Best val. Accuracy 0.4827 | Best test Accuracy 0.4795
Epoch 0066/1000| Loss 1.4934 | Train Accuracy 0.4903 | Val Accuracy 0.4820 | Test Accuracy 0.4827 | Best val. Accuracy 0.4827 | Best test Accuracy 0.4795
Epoch 0067/1000| Loss 1.5097 | Train Accuracy 0.4897 | Val Accuracy 0.4856 | Test Accuracy 0.4826 | Best val. Accuracy 0.4856 | Best test Accuracy 0.4826
Epoch 0068/1000| Loss 1.4876 | Train Accuracy 0.4880 | Val Accuracy 0.4844 | Test Accuracy 0.4831 | Best val. Accuracy 0.4856 | Best test Accuracy 0.4826
Epoch 0069/1000| Loss 1.4919 | Train Accuracy 0.4770 | Val Accuracy 0.4710 | Test Accuracy 0.4724 | Best val. Accuracy 0.4856 | Best test Accuracy 0.4826
Epoch 0070/1000| Loss 1.4822 | Train Accuracy 0.4915 | Val Accuracy 0.4866 | Test Accuracy 0.4844 | Best val. Accuracy 0.4866 | Best test Accuracy 0.4844
Epoch 0071/1000| Loss 1.4786 | Train Accuracy 0.4941 | Val Accuracy 0.4891 | Test Accuracy 0.4876 | Best val. Accuracy 0.4891 | Best test Accuracy 0.4876
Epoch 0072/1000| Loss 1.4904 | Train Accuracy 0.4875 | Val Accuracy 0.4805 | Test Accuracy 0.4832 | Best val. Accuracy 0.4891 | Best test Accuracy 0.4876
Epoch 0073/1000| Loss 1.4716 | Train Accuracy 0.4646 | Val Accuracy 0.4614 | Test Accuracy 0.4620 | Best val. Accuracy 0.4891 | Best test Accuracy 0.4876
Epoch 0074/1000| Loss 1.4742 | Train Accuracy 0.4881 | Val Accuracy 0.4854 | Test Accuracy 0.4845 | Best val. Accuracy 0.4891 | Best test Accuracy 0.4876
Epoch 0075/1000| Loss 1.4583 | Train Accuracy 0.4957 | Val Accuracy 0.4902 | Test Accuracy 0.4885 | Best val. Accuracy 0.4902 | Best test Accuracy 0.4885
Epoch 0076/1000| Loss 1.4768 | Train Accuracy 0.4989 | Val Accuracy 0.4954 | Test Accuracy 0.4960 | Best val. Accuracy 0.4954 | Best test Accuracy 0.4960
Epoch 0077/1000| Loss 1.4550 | Train Accuracy 0.4846 | Val Accuracy 0.4814 | Test Accuracy 0.4805 | Best val. Accuracy 0.4954 | Best test Accuracy 0.4960
Epoch 0078/1000| Loss 1.4563 | Train Accuracy 0.4958 | Val Accuracy 0.4915 | Test Accuracy 0.4916 | Best val. Accuracy 0.4954 | Best test Accuracy 0.4960
Epoch 0079/1000| Loss 1.4563 | Train Accuracy 0.5029 | Val Accuracy 0.4995 | Test Accuracy 0.4981 | Best val. Accuracy 0.4995 | Best test Accuracy 0.4981
Epoch 0080: Avg Forward 7.751ms, Avg Backward 3.274ms, Total per epoch 11.026ms
Epoch 0080/1000| Loss 1.4489 | Train Accuracy 0.5062 | Val Accuracy 0.4972 | Test Accuracy 0.4979 | Best val. Accuracy 0.4995 | Best test Accuracy 0.4981
Epoch 0081/1000| Loss 1.4436 | Train Accuracy 0.5005 | Val Accuracy 0.4937 | Test Accuracy 0.4944 | Best val. Accuracy 0.4995 | Best test Accuracy 0.4981
Epoch 0082/1000| Loss 1.4467 | Train Accuracy 0.5055 | Val Accuracy 0.4993 | Test Accuracy 0.4990 | Best val. Accuracy 0.4995 | Best test Accuracy 0.4981
Epoch 0083/1000| Loss 1.4391 | Train Accuracy 0.5058 | Val Accuracy 0.4967 | Test Accuracy 0.4982 | Best val. Accuracy 0.4995 | Best test Accuracy 0.4981
Epoch 0084/1000| Loss 1.4348 | Train Accuracy 0.5045 | Val Accuracy 0.4985 | Test Accuracy 0.4964 | Best val. Accuracy 0.4995 | Best test Accuracy 0.4981
Epoch 0085/1000| Loss 1.4365 | Train Accuracy 0.5057 | Val Accuracy 0.5001 | Test Accuracy 0.4981 | Best val. Accuracy 0.5001 | Best test Accuracy 0.4981
Epoch 0086/1000| Loss 1.4348 | Train Accuracy 0.5098 | Val Accuracy 0.5045 | Test Accuracy 0.5011 | Best val. Accuracy 0.5045 | Best test Accuracy 0.5011
Epoch 0087/1000| Loss 1.4299 | Train Accuracy 0.5106 | Val Accuracy 0.5052 | Test Accuracy 0.5007 | Best val. Accuracy 0.5052 | Best test Accuracy 0.5007
Epoch 0088/1000| Loss 1.4278 | Train Accuracy 0.5080 | Val Accuracy 0.5021 | Test Accuracy 0.4995 | Best val. Accuracy 0.5052 | Best test Accuracy 0.5007
Epoch 0089/1000| Loss 1.4284 | Train Accuracy 0.5125 | Val Accuracy 0.5054 | Test Accuracy 0.5015 | Best val. Accuracy 0.5054 | Best test Accuracy 0.5015
Epoch 0090/1000| Loss 1.4270 | Train Accuracy 0.5128 | Val Accuracy 0.5051 | Test Accuracy 0.5019 | Best val. Accuracy 0.5054 | Best test Accuracy 0.5015
Epoch 0091/1000| Loss 1.4218 | Train Accuracy 0.5107 | Val Accuracy 0.5035 | Test Accuracy 0.5019 | Best val. Accuracy 0.5054 | Best test Accuracy 0.5015
Epoch 0092/1000| Loss 1.4268 | Train Accuracy 0.5137 | Val Accuracy 0.5039 | Test Accuracy 0.5027 | Best val. Accuracy 0.5054 | Best test Accuracy 0.5015
Epoch 0093/1000| Loss 1.4208 | Train Accuracy 0.5146 | Val Accuracy 0.5038 | Test Accuracy 0.5037 | Best val. Accuracy 0.5054 | Best test Accuracy 0.5015
Epoch 0094/1000| Loss 1.4183 | Train Accuracy 0.5123 | Val Accuracy 0.5061 | Test Accuracy 0.5036 | Best val. Accuracy 0.5061 | Best test Accuracy 0.5036
Epoch 0095/1000| Loss 1.4131 | Train Accuracy 0.5130 | Val Accuracy 0.5060 | Test Accuracy 0.5027 | Best val. Accuracy 0.5061 | Best test Accuracy 0.5036
Epoch 0096/1000| Loss 1.4126 | Train Accuracy 0.5138 | Val Accuracy 0.5047 | Test Accuracy 0.5055 | Best val. Accuracy 0.5061 | Best test Accuracy 0.5036
Epoch 0097/1000| Loss 1.4118 | Train Accuracy 0.5144 | Val Accuracy 0.5057 | Test Accuracy 0.5037 | Best val. Accuracy 0.5061 | Best test Accuracy 0.5036
Epoch 0098/1000| Loss 1.4131 | Train Accuracy 0.5146 | Val Accuracy 0.5077 | Test Accuracy 0.5057 | Best val. Accuracy 0.5077 | Best test Accuracy 0.5057
Epoch 0099/1000| Loss 1.4138 | Train Accuracy 0.5150 | Val Accuracy 0.5065 | Test Accuracy 0.5042 | Best val. Accuracy 0.5077 | Best test Accuracy 0.5057
Epoch 0100: Avg Forward 7.722ms, Avg Backward 3.272ms, Total per epoch 10.994ms
Epoch 0100/1000| Loss 1.4107 | Train Accuracy 0.5177 | Val Accuracy 0.5066 | Test Accuracy 0.5043 | Best val. Accuracy 0.5077 | Best test Accuracy 0.5057
Epoch 0101/1000| Loss 1.4047 | Train Accuracy 0.5176 | Val Accuracy 0.5085 | Test Accuracy 0.5058 | Best val. Accuracy 0.5085 | Best test Accuracy 0.5058
Epoch 0102/1000| Loss 1.4051 | Train Accuracy 0.5178 | Val Accuracy 0.5066 | Test Accuracy 0.5036 | Best val. Accuracy 0.5085 | Best test Accuracy 0.5058
Epoch 0103/1000| Loss 1.4045 | Train Accuracy 0.5200 | Val Accuracy 0.5059 | Test Accuracy 0.5054 | Best val. Accuracy 0.5085 | Best test Accuracy 0.5058
Epoch 0104/1000| Loss 1.4012 | Train Accuracy 0.5208 | Val Accuracy 0.5069 | Test Accuracy 0.5044 | Best val. Accuracy 0.5085 | Best test Accuracy 0.5058
Epoch 0105/1000| Loss 1.3977 | Train Accuracy 0.5173 | Val Accuracy 0.5070 | Test Accuracy 0.5039 | Best val. Accuracy 0.5085 | Best test Accuracy 0.5058
Epoch 0106/1000| Loss 1.4025 | Train Accuracy 0.5187 | Val Accuracy 0.5069 | Test Accuracy 0.5061 | Best val. Accuracy 0.5085 | Best test Accuracy 0.5058
Epoch 0107/1000| Loss 1.3982 | Train Accuracy 0.5209 | Val Accuracy 0.5069 | Test Accuracy 0.5058 | Best val. Accuracy 0.5085 | Best test Accuracy 0.5058
Epoch 0108/1000| Loss 1.4014 | Train Accuracy 0.5207 | Val Accuracy 0.5073 | Test Accuracy 0.5063 | Best val. Accuracy 0.5085 | Best test Accuracy 0.5058
Epoch 0109/1000| Loss 1.3957 | Train Accuracy 0.5204 | Val Accuracy 0.5050 | Test Accuracy 0.5038 | Best val. Accuracy 0.5085 | Best test Accuracy 0.5058
Epoch 0110/1000| Loss 1.3959 | Train Accuracy 0.5221 | Val Accuracy 0.5085 | Test Accuracy 0.5049 | Best val. Accuracy 0.5085 | Best test Accuracy 0.5058
Epoch 0111/1000| Loss 1.3920 | Train Accuracy 0.5229 | Val Accuracy 0.5073 | Test Accuracy 0.5043 | Best val. Accuracy 0.5085 | Best test Accuracy 0.5058
Epoch 0112/1000| Loss 1.3912 | Train Accuracy 0.5185 | Val Accuracy 0.5025 | Test Accuracy 0.5007 | Best val. Accuracy 0.5085 | Best test Accuracy 0.5058
Epoch 0113/1000| Loss 1.3931 | Train Accuracy 0.5237 | Val Accuracy 0.5091 | Test Accuracy 0.5051 | Best val. Accuracy 0.5091 | Best test Accuracy 0.5051
