
Parameters:
DATA_PATH=./data/
DATASET=flickr
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=64
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=sage
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=False
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with DGL built-in convolution modules
Creating SAGE model...
Using standard DGL SAGE model
Model parameters: 524,039 total, 524,039 trainable
Graph statistics: 89250 nodes, 989006 edges
Average degree: 11.08
Feature dimension: 500, Hidden dimension: 256
MaxK value: 64, Nonlinearity: maxk
Starting training...
Epoch 0000/1000| Loss 12.7343 | Train Accuracy 0.4216 | Val Accuracy 0.4239 | Test Accuracy 0.4234 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0001/1000| Loss 67.1117 | Train Accuracy 0.2583 | Val Accuracy 0.2580 | Test Accuracy 0.2547 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0002/1000| Loss 41.7598 | Train Accuracy 0.2097 | Val Accuracy 0.2100 | Test Accuracy 0.2046 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0003/1000| Loss 21.4101 | Train Accuracy 0.2582 | Val Accuracy 0.2581 | Test Accuracy 0.2545 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0004/1000| Loss 16.1128 | Train Accuracy 0.0390 | Val Accuracy 0.0385 | Test Accuracy 0.0393 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0005/1000| Loss 73.9364 | Train Accuracy 0.0967 | Val Accuracy 0.0950 | Test Accuracy 0.0927 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0006/1000| Loss 39.6606 | Train Accuracy 0.0692 | Val Accuracy 0.0673 | Test Accuracy 0.0702 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0007/1000| Loss 6.0933 | Train Accuracy 0.2568 | Val Accuracy 0.2569 | Test Accuracy 0.2533 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0008/1000| Loss 21.4707 | Train Accuracy 0.4209 | Val Accuracy 0.4234 | Test Accuracy 0.4231 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0009/1000| Loss 7.4963 | Train Accuracy 0.0546 | Val Accuracy 0.0523 | Test Accuracy 0.0511 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0010/1000| Loss 21.4753 | Train Accuracy 0.2411 | Val Accuracy 0.2417 | Test Accuracy 0.2382 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0011/1000| Loss 9.1334 | Train Accuracy 0.3375 | Val Accuracy 0.3372 | Test Accuracy 0.3358 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0012/1000| Loss 18.7092 | Train Accuracy 0.0709 | Val Accuracy 0.0721 | Test Accuracy 0.0735 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0013/1000| Loss 18.7419 | Train Accuracy 0.2572 | Val Accuracy 0.2574 | Test Accuracy 0.2533 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0014/1000| Loss 12.3236 | Train Accuracy 0.1374 | Val Accuracy 0.1368 | Test Accuracy 0.1332 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0015/1000| Loss 11.2173 | Train Accuracy 0.0603 | Val Accuracy 0.0588 | Test Accuracy 0.0624 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0016/1000| Loss 9.0587 | Train Accuracy 0.0592 | Val Accuracy 0.0579 | Test Accuracy 0.0607 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0017/1000| Loss 10.5286 | Train Accuracy 0.3952 | Val Accuracy 0.3986 | Test Accuracy 0.3986 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0018/1000| Loss 14.0168 | Train Accuracy 0.1777 | Val Accuracy 0.1746 | Test Accuracy 0.1783 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0019/1000| Loss 9.7578 | Train Accuracy 0.3138 | Val Accuracy 0.3195 | Test Accuracy 0.3204 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0020: Avg Forward 9.378ms, Avg Backward 3.849ms, Total per epoch 13.227ms
Epoch 0020/1000| Loss 9.7784 | Train Accuracy 0.3502 | Val Accuracy 0.3523 | Test Accuracy 0.3524 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0021/1000| Loss 8.9095 | Train Accuracy 0.3918 | Val Accuracy 0.3914 | Test Accuracy 0.3903 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0022/1000| Loss 7.6837 | Train Accuracy 0.1016 | Val Accuracy 0.1036 | Test Accuracy 0.1030 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0023/1000| Loss 8.0958 | Train Accuracy 0.0623 | Val Accuracy 0.0618 | Test Accuracy 0.0644 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0024/1000| Loss 7.1479 | Train Accuracy 0.1749 | Val Accuracy 0.1778 | Test Accuracy 0.1768 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0025/1000| Loss 6.8954 | Train Accuracy 0.3962 | Val Accuracy 0.3976 | Test Accuracy 0.3929 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
