
Parameters:
DATA_PATH=./data/
DATASET=ogbn-products
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=16
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=gin
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=False
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with DGL built-in convolution modules
Creating GIN model...
Using standard DGL GIN model
Model parameters: 235,314 total, 235,314 trainable
Graph statistics: 2449029 nodes, 123718280 edges
Average degree: 50.52
Feature dimension: 100, Hidden dimension: 256
MaxK value: 16, Nonlinearity: maxk
Starting training...
Epoch 0000/1000| Loss 305000.0312 | Train Accuracy 0.0694 | Val Accuracy 0.0687 | Test Accuracy 0.0587 | Best val. Accuracy 0.0687 | Best test Accuracy 0.0587
Epoch 0001/1000| Loss 424491.7500 | Train Accuracy 0.0690 | Val Accuracy 0.0684 | Test Accuracy 0.0607 | Best val. Accuracy 0.0687 | Best test Accuracy 0.0587
Epoch 0002/1000| Loss 634878.2500 | Train Accuracy 0.0715 | Val Accuracy 0.0728 | Test Accuracy 0.0692 | Best val. Accuracy 0.0728 | Best test Accuracy 0.0692
Epoch 0003/1000| Loss 313920.6875 | Train Accuracy 0.1424 | Val Accuracy 0.1416 | Test Accuracy 0.1230 | Best val. Accuracy 0.1416 | Best test Accuracy 0.1230
Epoch 0004/1000| Loss 118656.1016 | Train Accuracy 0.1112 | Val Accuracy 0.1067 | Test Accuracy 0.0994 | Best val. Accuracy 0.1416 | Best test Accuracy 0.1230
Epoch 0005/1000| Loss 64677.5078 | Train Accuracy 0.1606 | Val Accuracy 0.1594 | Test Accuracy 0.1459 | Best val. Accuracy 0.1594 | Best test Accuracy 0.1459
Epoch 0006/1000| Loss 23051.3145 | Train Accuracy 0.0563 | Val Accuracy 0.0634 | Test Accuracy 0.0833 | Best val. Accuracy 0.1594 | Best test Accuracy 0.1459
Epoch 0007/1000| Loss 25480.0039 | Train Accuracy 0.2796 | Val Accuracy 0.2792 | Test Accuracy 0.2219 | Best val. Accuracy 0.2792 | Best test Accuracy 0.2219
Epoch 0008/1000| Loss 18164.9961 | Train Accuracy 0.2053 | Val Accuracy 0.2074 | Test Accuracy 0.1662 | Best val. Accuracy 0.2792 | Best test Accuracy 0.2219
Epoch 0009/1000| Loss 14087.1074 | Train Accuracy 0.1824 | Val Accuracy 0.1839 | Test Accuracy 0.1630 | Best val. Accuracy 0.2792 | Best test Accuracy 0.2219
Epoch 0010/1000| Loss 9128.9756 | Train Accuracy 0.3343 | Val Accuracy 0.3281 | Test Accuracy 0.2607 | Best val. Accuracy 0.3281 | Best test Accuracy 0.2607
Epoch 0011/1000| Loss 6493.4668 | Train Accuracy 0.3840 | Val Accuracy 0.3841 | Test Accuracy 0.3119 | Best val. Accuracy 0.3841 | Best test Accuracy 0.3119
Epoch 0012/1000| Loss 3794.1824 | Train Accuracy 0.3706 | Val Accuracy 0.3774 | Test Accuracy 0.2996 | Best val. Accuracy 0.3841 | Best test Accuracy 0.3119
Epoch 0013/1000| Loss 2982.8354 | Train Accuracy 0.3778 | Val Accuracy 0.3794 | Test Accuracy 0.3081 | Best val. Accuracy 0.3841 | Best test Accuracy 0.3119
Epoch 0014/1000| Loss 2624.3069 | Train Accuracy 0.4097 | Val Accuracy 0.4072 | Test Accuracy 0.3248 | Best val. Accuracy 0.4072 | Best test Accuracy 0.3248
Epoch 0015/1000| Loss 2241.0239 | Train Accuracy 0.3568 | Val Accuracy 0.3480 | Test Accuracy 0.2476 | Best val. Accuracy 0.4072 | Best test Accuracy 0.3248
Epoch 0016/1000| Loss 2104.8306 | Train Accuracy 0.4736 | Val Accuracy 0.4572 | Test Accuracy 0.3226 | Best val. Accuracy 0.4572 | Best test Accuracy 0.3226
Epoch 0017/1000| Loss 1335.3356 | Train Accuracy 0.5113 | Val Accuracy 0.5011 | Test Accuracy 0.3684 | Best val. Accuracy 0.5011 | Best test Accuracy 0.3684
Epoch 0018/1000| Loss 1274.6166 | Train Accuracy 0.5475 | Val Accuracy 0.5359 | Test Accuracy 0.3994 | Best val. Accuracy 0.5359 | Best test Accuracy 0.3994
Epoch 0019/1000| Loss 1679.2794 | Train Accuracy 0.5105 | Val Accuracy 0.5026 | Test Accuracy 0.3835 | Best val. Accuracy 0.5359 | Best test Accuracy 0.3994
Epoch 0020: Avg Forward 263.134ms, Avg Backward 151.053ms, Total per epoch 414.187ms
Epoch 0020/1000| Loss 1168.5326 | Train Accuracy 0.4837 | Val Accuracy 0.4724 | Test Accuracy 0.3652 | Best val. Accuracy 0.5359 | Best test Accuracy 0.3994
Epoch 0021/1000| Loss 1266.8596 | Train Accuracy 0.5460 | Val Accuracy 0.5381 | Test Accuracy 0.4126 | Best val. Accuracy 0.5381 | Best test Accuracy 0.4126
Epoch 0022/1000| Loss 1255.4872 | Train Accuracy 0.5999 | Val Accuracy 0.5927 | Test Accuracy 0.4637 | Best val. Accuracy 0.5927 | Best test Accuracy 0.4637
Epoch 0023/1000| Loss 954.2559 | Train Accuracy 0.6298 | Val Accuracy 0.6209 | Test Accuracy 0.4762 | Best val. Accuracy 0.6209 | Best test Accuracy 0.4762
Epoch 0024/1000| Loss 696.8577 | Train Accuracy 0.6484 | Val Accuracy 0.6360 | Test Accuracy 0.4934 | Best val. Accuracy 0.6360 | Best test Accuracy 0.4934
Epoch 0025/1000| Loss 722.1362 | Train Accuracy 0.6765 | Val Accuracy 0.6616 | Test Accuracy 0.5100 | Best val. Accuracy 0.6616 | Best test Accuracy 0.5100
Epoch 0026/1000| Loss 719.7037 | Train Accuracy 0.6790 | Val Accuracy 0.6622 | Test Accuracy 0.5001 | Best val. Accuracy 0.6622 | Best test Accuracy 0.5001
Epoch 0027/1000| Loss 718.5170 | Train Accuracy 0.6749 | Val Accuracy 0.6566 | Test Accuracy 0.5052 | Best val. Accuracy 0.6622 | Best test Accuracy 0.5001
Epoch 0028/1000| Loss 838.7917 | Train Accuracy 0.6836 | Val Accuracy 0.6735 | Test Accuracy 0.5290 | Best val. Accuracy 0.6735 | Best test Accuracy 0.5290
Epoch 0029/1000| Loss 679.8065 | Train Accuracy 0.6953 | Val Accuracy 0.6825 | Test Accuracy 0.5355 | Best val. Accuracy 0.6825 | Best test Accuracy 0.5355
Epoch 0030/1000| Loss 620.0126 | Train Accuracy 0.7119 | Val Accuracy 0.6986 | Test Accuracy 0.5407 | Best val. Accuracy 0.6986 | Best test Accuracy 0.5407
Epoch 0031/1000| Loss 586.8041 | Train Accuracy 0.7306 | Val Accuracy 0.7175 | Test Accuracy 0.5440 | Best val. Accuracy 0.7175 | Best test Accuracy 0.5440
Epoch 0032/1000| Loss 586.5540 | Train Accuracy 0.7405 | Val Accuracy 0.7278 | Test Accuracy 0.5494 | Best val. Accuracy 0.7278 | Best test Accuracy 0.5494
Epoch 0033/1000| Loss 584.9492 | Train Accuracy 0.7507 | Val Accuracy 0.7343 | Test Accuracy 0.5662 | Best val. Accuracy 0.7343 | Best test Accuracy 0.5662
Epoch 0034/1000| Loss 520.4806 | Train Accuracy 0.7389 | Val Accuracy 0.7204 | Test Accuracy 0.5569 | Best val. Accuracy 0.7343 | Best test Accuracy 0.5662
Epoch 0035/1000| Loss 515.8026 | Train Accuracy 0.7400 | Val Accuracy 0.7234 | Test Accuracy 0.5452 | Best val. Accuracy 0.7343 | Best test Accuracy 0.5662
Epoch 0036/1000| Loss 486.1606 | Train Accuracy 0.7507 | Val Accuracy 0.7326 | Test Accuracy 0.5469 | Best val. Accuracy 0.7343 | Best test Accuracy 0.5662
Epoch 0037/1000| Loss 441.0691 | Train Accuracy 0.7402 | Val Accuracy 0.7234 | Test Accuracy 0.5430 | Best val. Accuracy 0.7343 | Best test Accuracy 0.5662
Epoch 0038/1000| Loss 458.3711 | Train Accuracy 0.7431 | Val Accuracy 0.7214 | Test Accuracy 0.5388 | Best val. Accuracy 0.7343 | Best test Accuracy 0.5662
Epoch 0039/1000| Loss 394.2011 | Train Accuracy 0.7395 | Val Accuracy 0.7155 | Test Accuracy 0.5366 | Best val. Accuracy 0.7343 | Best test Accuracy 0.5662
Epoch 0040: Avg Forward 261.690ms, Avg Backward 151.046ms, Total per epoch 412.736ms
Epoch 0040/1000| Loss 467.8799 | Train Accuracy 0.7346 | Val Accuracy 0.7140 | Test Accuracy 0.5367 | Best val. Accuracy 0.7343 | Best test Accuracy 0.5662
Epoch 0041/1000| Loss 411.4034 | Train Accuracy 0.7404 | Val Accuracy 0.7232 | Test Accuracy 0.5496 | Best val. Accuracy 0.7343 | Best test Accuracy 0.5662
Epoch 0042/1000| Loss 417.3351 | Train Accuracy 0.7509 | Val Accuracy 0.7350 | Test Accuracy 0.5604 | Best val. Accuracy 0.7350 | Best test Accuracy 0.5604
Epoch 0043/1000| Loss 411.4006 | Train Accuracy 0.7656 | Val Accuracy 0.7467 | Test Accuracy 0.5771 | Best val. Accuracy 0.7467 | Best test Accuracy 0.5771
Epoch 0044/1000| Loss 406.6792 | Train Accuracy 0.7707 | Val Accuracy 0.7509 | Test Accuracy 0.5882 | Best val. Accuracy 0.7509 | Best test Accuracy 0.5882
Epoch 0045/1000| Loss 420.5498 | Train Accuracy 0.7743 | Val Accuracy 0.7515 | Test Accuracy 0.5929 | Best val. Accuracy 0.7515 | Best test Accuracy 0.5929
Epoch 0046/1000| Loss 390.5416 | Train Accuracy 0.7801 | Val Accuracy 0.7585 | Test Accuracy 0.5943 | Best val. Accuracy 0.7585 | Best test Accuracy 0.5943
Epoch 0047/1000| Loss 373.1367 | Train Accuracy 0.7693 | Val Accuracy 0.7505 | Test Accuracy 0.5755 | Best val. Accuracy 0.7585 | Best test Accuracy 0.5943
Epoch 0048/1000| Loss 349.8765 | Train Accuracy 0.7643 | Val Accuracy 0.7431 | Test Accuracy 0.5699 | Best val. Accuracy 0.7585 | Best test Accuracy 0.5943
Epoch 0049/1000| Loss 339.7973 | Train Accuracy 0.7717 | Val Accuracy 0.7496 | Test Accuracy 0.5783 | Best val. Accuracy 0.7585 | Best test Accuracy 0.5943
Epoch 0050/1000| Loss 312.4028 | Train Accuracy 0.7652 | Val Accuracy 0.7447 | Test Accuracy 0.5759 | Best val. Accuracy 0.7585 | Best test Accuracy 0.5943
Epoch 0051/1000| Loss 334.9349 | Train Accuracy 0.7640 | Val Accuracy 0.7405 | Test Accuracy 0.5758 | Best val. Accuracy 0.7585 | Best test Accuracy 0.5943
Epoch 0052/1000| Loss 579.6651 | Train Accuracy 0.7700 | Val Accuracy 0.7488 | Test Accuracy 0.5911 | Best val. Accuracy 0.7585 | Best test Accuracy 0.5943
Epoch 0053/1000| Loss 309.5711 | Train Accuracy 0.7752 | Val Accuracy 0.7563 | Test Accuracy 0.5878 | Best val. Accuracy 0.7585 | Best test Accuracy 0.5943
Epoch 0054/1000| Loss 301.7330 | Train Accuracy 0.7691 | Val Accuracy 0.7522 | Test Accuracy 0.5781 | Best val. Accuracy 0.7585 | Best test Accuracy 0.5943
Epoch 0055/1000| Loss 333.6475 | Train Accuracy 0.7730 | Val Accuracy 0.7558 | Test Accuracy 0.5837 | Best val. Accuracy 0.7585 | Best test Accuracy 0.5943
Epoch 0056/1000| Loss 321.0260 | Train Accuracy 0.7713 | Val Accuracy 0.7512 | Test Accuracy 0.5820 | Best val. Accuracy 0.7585 | Best test Accuracy 0.5943
Epoch 0057/1000| Loss 306.1611 | Train Accuracy 0.7649 | Val Accuracy 0.7470 | Test Accuracy 0.5800 | Best val. Accuracy 0.7585 | Best test Accuracy 0.5943
Epoch 0058/1000| Loss 318.5045 | Train Accuracy 0.7752 | Val Accuracy 0.7551 | Test Accuracy 0.5894 | Best val. Accuracy 0.7585 | Best test Accuracy 0.5943
Epoch 0059/1000| Loss 292.7811 | Train Accuracy 0.7786 | Val Accuracy 0.7570 | Test Accuracy 0.5944 | Best val. Accuracy 0.7585 | Best test Accuracy 0.5943
Epoch 0060: Avg Forward 261.278ms, Avg Backward 151.043ms, Total per epoch 412.322ms
Epoch 0060/1000| Loss 283.4071 | Train Accuracy 0.7766 | Val Accuracy 0.7535 | Test Accuracy 0.5885 | Best val. Accuracy 0.7585 | Best test Accuracy 0.5943
Epoch 0061/1000| Loss 263.6823 | Train Accuracy 0.7751 | Val Accuracy 0.7516 | Test Accuracy 0.5755 | Best val. Accuracy 0.7585 | Best test Accuracy 0.5943
Epoch 0062/1000| Loss 246.2238 | Train Accuracy 0.7648 | Val Accuracy 0.7435 | Test Accuracy 0.5691 | Best val. Accuracy 0.7585 | Best test Accuracy 0.5943
Epoch 0063/1000| Loss 439.3163 | Train Accuracy 0.7599 | Val Accuracy 0.7406 | Test Accuracy 0.5721 | Best val. Accuracy 0.7585 | Best test Accuracy 0.5943
Epoch 0064/1000| Loss 285.9556 | Train Accuracy 0.7810 | Val Accuracy 0.7599 | Test Accuracy 0.5901 | Best val. Accuracy 0.7599 | Best test Accuracy 0.5901
Epoch 0065/1000| Loss 298.0257 | Train Accuracy 0.7829 | Val Accuracy 0.7621 | Test Accuracy 0.5976 | Best val. Accuracy 0.7621 | Best test Accuracy 0.5976
Epoch 0066/1000| Loss 345.9636 | Train Accuracy 0.7852 | Val Accuracy 0.7668 | Test Accuracy 0.5942 | Best val. Accuracy 0.7668 | Best test Accuracy 0.5942
Epoch 0067/1000| Loss 375.4161 | Train Accuracy 0.7861 | Val Accuracy 0.7693 | Test Accuracy 0.5941 | Best val. Accuracy 0.7693 | Best test Accuracy 0.5941
Epoch 0068/1000| Loss 386.2415 | Train Accuracy 0.7862 | Val Accuracy 0.7701 | Test Accuracy 0.6007 | Best val. Accuracy 0.7701 | Best test Accuracy 0.6007
Epoch 0069/1000| Loss 382.0933 | Train Accuracy 0.7885 | Val Accuracy 0.7709 | Test Accuracy 0.6014 | Best val. Accuracy 0.7709 | Best test Accuracy 0.6014
Epoch 0070/1000| Loss 385.6249 | Train Accuracy 0.7915 | Val Accuracy 0.7754 | Test Accuracy 0.5990 | Best val. Accuracy 0.7754 | Best test Accuracy 0.5990
Epoch 0071/1000| Loss 376.6810 | Train Accuracy 0.7838 | Val Accuracy 0.7657 | Test Accuracy 0.5962 | Best val. Accuracy 0.7754 | Best test Accuracy 0.5990
Epoch 0072/1000| Loss 371.3825 | Train Accuracy 0.7823 | Val Accuracy 0.7636 | Test Accuracy 0.5965 | Best val. Accuracy 0.7754 | Best test Accuracy 0.5990
Epoch 0073/1000| Loss 341.7711 | Train Accuracy 0.7797 | Val Accuracy 0.7605 | Test Accuracy 0.5979 | Best val. Accuracy 0.7754 | Best test Accuracy 0.5990
Epoch 0074/1000| Loss 347.9692 | Train Accuracy 0.7915 | Val Accuracy 0.7746 | Test Accuracy 0.5969 | Best val. Accuracy 0.7754 | Best test Accuracy 0.5990
Epoch 0075/1000| Loss 268.0906 | Train Accuracy 0.7883 | Val Accuracy 0.7679 | Test Accuracy 0.5886 | Best val. Accuracy 0.7754 | Best test Accuracy 0.5990
Epoch 0076/1000| Loss 250.5715 | Train Accuracy 0.7904 | Val Accuracy 0.7714 | Test Accuracy 0.5889 | Best val. Accuracy 0.7754 | Best test Accuracy 0.5990
Epoch 0077/1000| Loss 230.0772 | Train Accuracy 0.7822 | Val Accuracy 0.7592 | Test Accuracy 0.5841 | Best val. Accuracy 0.7754 | Best test Accuracy 0.5990
Epoch 0078/1000| Loss 1138.4669 | Train Accuracy 0.7838 | Val Accuracy 0.7646 | Test Accuracy 0.5909 | Best val. Accuracy 0.7754 | Best test Accuracy 0.5990
Epoch 0079/1000| Loss 294.1571 | Train Accuracy 0.7983 | Val Accuracy 0.7814 | Test Accuracy 0.6037 | Best val. Accuracy 0.7814 | Best test Accuracy 0.6037
Epoch 0080: Avg Forward 261.068ms, Avg Backward 151.039ms, Total per epoch 412.107ms
Epoch 0080/1000| Loss 328.6059 | Train Accuracy 0.7826 | Val Accuracy 0.7652 | Test Accuracy 0.5866 | Best val. Accuracy 0.7814 | Best test Accuracy 0.6037
Epoch 0081/1000| Loss 389.3795 | Train Accuracy 0.7674 | Val Accuracy 0.7495 | Test Accuracy 0.5838 | Best val. Accuracy 0.7814 | Best test Accuracy 0.6037
Epoch 0082/1000| Loss 401.7845 | Train Accuracy 0.7756 | Val Accuracy 0.7557 | Test Accuracy 0.5950 | Best val. Accuracy 0.7814 | Best test Accuracy 0.6037
Epoch 0083/1000| Loss 402.7029 | Train Accuracy 0.7612 | Val Accuracy 0.7402 | Test Accuracy 0.5754 | Best val. Accuracy 0.7814 | Best test Accuracy 0.6037
Epoch 0084/1000| Loss 410.9809 | Train Accuracy 0.7758 | Val Accuracy 0.7567 | Test Accuracy 0.5740 | Best val. Accuracy 0.7814 | Best test Accuracy 0.6037
Epoch 0085/1000| Loss 422.3908 | Train Accuracy 0.7802 | Val Accuracy 0.7614 | Test Accuracy 0.5773 | Best val. Accuracy 0.7814 | Best test Accuracy 0.6037
Epoch 0086/1000| Loss 381.0569 | Train Accuracy 0.7958 | Val Accuracy 0.7784 | Test Accuracy 0.5953 | Best val. Accuracy 0.7814 | Best test Accuracy 0.6037
Epoch 0087/1000| Loss 384.7010 | Train Accuracy 0.7928 | Val Accuracy 0.7723 | Test Accuracy 0.5954 | Best val. Accuracy 0.7814 | Best test Accuracy 0.6037
Epoch 0088/1000| Loss 356.9212 | Train Accuracy 0.7809 | Val Accuracy 0.7578 | Test Accuracy 0.5871 | Best val. Accuracy 0.7814 | Best test Accuracy 0.6037
Epoch 0089/1000| Loss 327.7367 | Train Accuracy 0.7661 | Val Accuracy 0.7415 | Test Accuracy 0.5703 | Best val. Accuracy 0.7814 | Best test Accuracy 0.6037
Epoch 0090/1000| Loss 320.4098 | Train Accuracy 0.7713 | Val Accuracy 0.7485 | Test Accuracy 0.5742 | Best val. Accuracy 0.7814 | Best test Accuracy 0.6037
Epoch 0091/1000| Loss 454.9109 | Train Accuracy 0.7874 | Val Accuracy 0.7735 | Test Accuracy 0.5810 | Best val. Accuracy 0.7814 | Best test Accuracy 0.6037
Epoch 0092/1000| Loss 317.6827 | Train Accuracy 0.7911 | Val Accuracy 0.7739 | Test Accuracy 0.5960 | Best val. Accuracy 0.7814 | Best test Accuracy 0.6037
Epoch 0093/1000| Loss 271.4297 | Train Accuracy 0.7865 | Val Accuracy 0.7725 | Test Accuracy 0.5887 | Best val. Accuracy 0.7814 | Best test Accuracy 0.6037
Epoch 0094/1000| Loss 260.8863 | Train Accuracy 0.7826 | Val Accuracy 0.7641 | Test Accuracy 0.5894 | Best val. Accuracy 0.7814 | Best test Accuracy 0.6037
Epoch 0095/1000| Loss 253.6143 | Train Accuracy 0.7783 | Val Accuracy 0.7568 | Test Accuracy 0.5858 | Best val. Accuracy 0.7814 | Best test Accuracy 0.6037
Epoch 0096/1000| Loss 423.1791 | Train Accuracy 0.7729 | Val Accuracy 0.7521 | Test Accuracy 0.5745 | Best val. Accuracy 0.7814 | Best test Accuracy 0.6037
Epoch 0097/1000| Loss 324.1740 | Train Accuracy 0.7622 | Val Accuracy 0.7476 | Test Accuracy 0.5725 | Best val. Accuracy 0.7814 | Best test Accuracy 0.6037
Epoch 0098/1000| Loss 299.2163 | Train Accuracy 0.7398 | Val Accuracy 0.7264 | Test Accuracy 0.5541 | Best val. Accuracy 0.7814 | Best test Accuracy 0.6037
Epoch 0099/1000| Loss 329.4454 | Train Accuracy 0.7607 | Val Accuracy 0.7418 | Test Accuracy 0.5568 | Best val. Accuracy 0.7814 | Best test Accuracy 0.6037
Epoch 0100: Avg Forward 260.919ms, Avg Backward 151.036ms, Total per epoch 411.955ms
Epoch 0100/1000| Loss 296.8090 | Train Accuracy 0.7614 | Val Accuracy 0.7435 | Test Accuracy 0.5609 | Best val. Accuracy 0.7814 | Best test Accuracy 0.6037
Epoch 0101/1000| Loss 306.4161 | Train Accuracy 0.7789 | Val Accuracy 0.7629 | Test Accuracy 0.5711 | Best val. Accuracy 0.7814 | Best test Accuracy 0.6037
