
Parameters:
DATA_PATH=./data/
DATASET=ogbn-products
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=4
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=gin
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=True
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with MaxK CUDA kernel acceleration
Graph name for metadata: products
Kernel mode: auto
Creating GIN model...
Using MaxK-accelerated GIN model
Model parameters: 235,314 total, 235,314 trainable
Graph statistics: 2449029 nodes, 123718280 edges
Average degree: 50.52
Feature dimension: 100, Hidden dimension: 256
MaxK value: 4, Nonlinearity: maxk
Starting training...
Epoch 0000/1000| Loss 3.8757 | Train Accuracy 0.1498 | Val Accuracy 0.1602 | Test Accuracy 0.1427 | Best val. Accuracy 0.1602 | Best test Accuracy 0.1427
Epoch 0001/1000| Loss 3.7299 | Train Accuracy 0.2389 | Val Accuracy 0.2431 | Test Accuracy 0.1991 | Best val. Accuracy 0.2431 | Best test Accuracy 0.1991
Epoch 0002/1000| Loss 3.6007 | Train Accuracy 0.2628 | Val Accuracy 0.2622 | Test Accuracy 0.2144 | Best val. Accuracy 0.2622 | Best test Accuracy 0.2144
Epoch 0003/1000| Loss 3.4592 | Train Accuracy 0.2481 | Val Accuracy 0.2463 | Test Accuracy 0.2007 | Best val. Accuracy 0.2622 | Best test Accuracy 0.2144
Epoch 0004/1000| Loss 3.3771 | Train Accuracy 0.2748 | Val Accuracy 0.2743 | Test Accuracy 0.2262 | Best val. Accuracy 0.2743 | Best test Accuracy 0.2262
Epoch 0005/1000| Loss 3.4421 | Train Accuracy 0.2313 | Val Accuracy 0.2319 | Test Accuracy 0.1888 | Best val. Accuracy 0.2743 | Best test Accuracy 0.2262
Epoch 0006/1000| Loss 3.4126 | Train Accuracy 0.2001 | Val Accuracy 0.2020 | Test Accuracy 0.1612 | Best val. Accuracy 0.2743 | Best test Accuracy 0.2262
Epoch 0007/1000| Loss 3.3669 | Train Accuracy 0.1607 | Val Accuracy 0.1598 | Test Accuracy 0.1269 | Best val. Accuracy 0.2743 | Best test Accuracy 0.2262
Epoch 0008/1000| Loss 3.2988 | Train Accuracy 0.1562 | Val Accuracy 0.1516 | Test Accuracy 0.1215 | Best val. Accuracy 0.2743 | Best test Accuracy 0.2262
Epoch 0009/1000| Loss 3.2066 | Train Accuracy 0.1620 | Val Accuracy 0.1579 | Test Accuracy 0.1264 | Best val. Accuracy 0.2743 | Best test Accuracy 0.2262
Epoch 0010/1000| Loss 3.1314 | Train Accuracy 0.1931 | Val Accuracy 0.1892 | Test Accuracy 0.1531 | Best val. Accuracy 0.2743 | Best test Accuracy 0.2262
Epoch 0011/1000| Loss 3.0701 | Train Accuracy 0.2480 | Val Accuracy 0.2426 | Test Accuracy 0.2010 | Best val. Accuracy 0.2743 | Best test Accuracy 0.2262
Epoch 0012/1000| Loss 3.0515 | Train Accuracy 0.2862 | Val Accuracy 0.2811 | Test Accuracy 0.2363 | Best val. Accuracy 0.2811 | Best test Accuracy 0.2363
Epoch 0013/1000| Loss 3.0467 | Train Accuracy 0.2828 | Val Accuracy 0.2810 | Test Accuracy 0.2347 | Best val. Accuracy 0.2811 | Best test Accuracy 0.2363
Epoch 0014/1000| Loss 2.9975 | Train Accuracy 0.2548 | Val Accuracy 0.2508 | Test Accuracy 0.2046 | Best val. Accuracy 0.2811 | Best test Accuracy 0.2363
Epoch 0015/1000| Loss 2.9553 | Train Accuracy 0.2690 | Val Accuracy 0.2662 | Test Accuracy 0.2196 | Best val. Accuracy 0.2811 | Best test Accuracy 0.2363
Epoch 0016/1000| Loss 2.9213 | Train Accuracy 0.2657 | Val Accuracy 0.2604 | Test Accuracy 0.2111 | Best val. Accuracy 0.2811 | Best test Accuracy 0.2363
Epoch 0017/1000| Loss 2.8947 | Train Accuracy 0.2470 | Val Accuracy 0.2385 | Test Accuracy 0.1887 | Best val. Accuracy 0.2811 | Best test Accuracy 0.2363
