
Parameters:
DATA_PATH=./data/
DATASET=ogbn-products
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=32
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=sage
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=False
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with DGL built-in convolution modules
Creating SAGE model...
Using standard DGL SAGE model
Model parameters: 431,919 total, 431,919 trainable
Graph statistics: 2449029 nodes, 123718280 edges
Average degree: 50.52
Feature dimension: 100, Hidden dimension: 256
MaxK value: 32, Nonlinearity: maxk
Starting training...
Epoch 0000/1000| Loss 5.2105 | Train Accuracy 0.3084 | Val Accuracy 0.3083 | Test Accuracy 0.2694 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0001/1000| Loss 6.7095 | Train Accuracy 0.3083 | Val Accuracy 0.3082 | Test Accuracy 0.2669 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0002/1000| Loss 2.9125 | Train Accuracy 0.3083 | Val Accuracy 0.3078 | Test Accuracy 0.2619 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0003/1000| Loss 3.2465 | Train Accuracy 0.0458 | Val Accuracy 0.0448 | Test Accuracy 0.0366 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0004/1000| Loss 3.2094 | Train Accuracy 0.1277 | Val Accuracy 0.1250 | Test Accuracy 0.0954 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0005/1000| Loss 3.1696 | Train Accuracy 0.3082 | Val Accuracy 0.3074 | Test Accuracy 0.2589 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0006/1000| Loss 2.6541 | Train Accuracy 0.3098 | Val Accuracy 0.3108 | Test Accuracy 0.2667 | Best val. Accuracy 0.3108 | Best test Accuracy 0.2667
Epoch 0007/1000| Loss 2.3687 | Train Accuracy 0.3095 | Val Accuracy 0.3102 | Test Accuracy 0.2666 | Best val. Accuracy 0.3108 | Best test Accuracy 0.2667
Epoch 0008/1000| Loss 2.3134 | Train Accuracy 0.3206 | Val Accuracy 0.3278 | Test Accuracy 0.2852 | Best val. Accuracy 0.3278 | Best test Accuracy 0.2852
Epoch 0009/1000| Loss 2.1249 | Train Accuracy 0.3931 | Val Accuracy 0.4013 | Test Accuracy 0.3317 | Best val. Accuracy 0.4013 | Best test Accuracy 0.3317
Epoch 0010/1000| Loss 2.0103 | Train Accuracy 0.4561 | Val Accuracy 0.4594 | Test Accuracy 0.3639 | Best val. Accuracy 0.4594 | Best test Accuracy 0.3639
Epoch 0011/1000| Loss 1.9161 | Train Accuracy 0.4651 | Val Accuracy 0.4662 | Test Accuracy 0.3686 | Best val. Accuracy 0.4662 | Best test Accuracy 0.3686
