
Parameters:
DATA_PATH=./data/
DATASET=ogbn-products
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=64
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=sage
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=True
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with MaxK CUDA kernel acceleration
Graph name for metadata: products
Kernel mode: auto
Creating SAGE model...
Using MaxK-accelerated SAGE model
Model parameters: 431,919 total, 431,919 trainable
Graph statistics: 2449029 nodes, 123718280 edges
Average degree: 50.52
Feature dimension: 100, Hidden dimension: 256
MaxK value: 64, Nonlinearity: maxk
Starting training...
Epoch 0000/1000| Loss 13.0879 | Train Accuracy 0.3084 | Val Accuracy 0.3083 | Test Accuracy 0.2694 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0001/1000| Loss 28.1857 | Train Accuracy 0.1536 | Val Accuracy 0.1541 | Test Accuracy 0.1346 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0002/1000| Loss 10.2493 | Train Accuracy 0.3063 | Val Accuracy 0.3046 | Test Accuracy 0.2608 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0003/1000| Loss 14.8773 | Train Accuracy 0.0481 | Val Accuracy 0.0507 | Test Accuracy 0.0417 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0004/1000| Loss 13.5459 | Train Accuracy 0.0637 | Val Accuracy 0.0645 | Test Accuracy 0.0522 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0005/1000| Loss 12.9847 | Train Accuracy 0.0692 | Val Accuracy 0.0629 | Test Accuracy 0.0503 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0006/1000| Loss 8.8079 | Train Accuracy 0.0688 | Val Accuracy 0.0699 | Test Accuracy 0.0539 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0007/1000| Loss 5.9454 | Train Accuracy 0.2344 | Val Accuracy 0.2294 | Test Accuracy 0.1877 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0008/1000| Loss 6.3155 | Train Accuracy 0.1011 | Val Accuracy 0.0988 | Test Accuracy 0.0926 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0009/1000| Loss 5.6529 | Train Accuracy 0.1379 | Val Accuracy 0.1298 | Test Accuracy 0.0903 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0010/1000| Loss 7.1383 | Train Accuracy 0.1098 | Val Accuracy 0.1086 | Test Accuracy 0.0940 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0011/1000| Loss 7.4232 | Train Accuracy 0.3012 | Val Accuracy 0.2940 | Test Accuracy 0.2392 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0012/1000| Loss 5.4022 | Train Accuracy 0.3142 | Val Accuracy 0.3119 | Test Accuracy 0.2659 | Best val. Accuracy 0.3119 | Best test Accuracy 0.2659
Epoch 0013/1000| Loss 7.7352 | Train Accuracy 0.2080 | Val Accuracy 0.2076 | Test Accuracy 0.1696 | Best val. Accuracy 0.3119 | Best test Accuracy 0.2659
Epoch 0014/1000| Loss 6.1686 | Train Accuracy 0.1523 | Val Accuracy 0.1507 | Test Accuracy 0.1291 | Best val. Accuracy 0.3119 | Best test Accuracy 0.2659
Epoch 0015/1000| Loss 7.4886 | Train Accuracy 0.2683 | Val Accuracy 0.2556 | Test Accuracy 0.1890 | Best val. Accuracy 0.3119 | Best test Accuracy 0.2659
Epoch 0016/1000| Loss 6.1893 | Train Accuracy 0.3264 | Val Accuracy 0.3178 | Test Accuracy 0.2538 | Best val. Accuracy 0.3178 | Best test Accuracy 0.2538
Epoch 0017/1000| Loss 8.6041 | Train Accuracy 0.3446 | Val Accuracy 0.3418 | Test Accuracy 0.2866 | Best val. Accuracy 0.3418 | Best test Accuracy 0.2866
Epoch 0018/1000| Loss 7.7849 | Train Accuracy 0.2829 | Val Accuracy 0.2779 | Test Accuracy 0.2138 | Best val. Accuracy 0.3418 | Best test Accuracy 0.2866
Epoch 0019/1000| Loss 5.6372 | Train Accuracy 0.2212 | Val Accuracy 0.2144 | Test Accuracy 0.1720 | Best val. Accuracy 0.3418 | Best test Accuracy 0.2866
Epoch 0020: Avg Forward 317.890ms, Avg Backward 129.698ms, Total per epoch 447.588ms
Epoch 0020/1000| Loss 6.2265 | Train Accuracy 0.2883 | Val Accuracy 0.2760 | Test Accuracy 0.2100 | Best val. Accuracy 0.3418 | Best test Accuracy 0.2866
Epoch 0021/1000| Loss 5.7488 | Train Accuracy 0.3443 | Val Accuracy 0.3278 | Test Accuracy 0.2448 | Best val. Accuracy 0.3418 | Best test Accuracy 0.2866
Epoch 0022/1000| Loss 5.3579 | Train Accuracy 0.3737 | Val Accuracy 0.3644 | Test Accuracy 0.2804 | Best val. Accuracy 0.3644 | Best test Accuracy 0.2804
Epoch 0023/1000| Loss 5.2097 | Train Accuracy 0.3724 | Val Accuracy 0.3615 | Test Accuracy 0.2765 | Best val. Accuracy 0.3644 | Best test Accuracy 0.2804
Epoch 0024/1000| Loss 5.0177 | Train Accuracy 0.3620 | Val Accuracy 0.3494 | Test Accuracy 0.2619 | Best val. Accuracy 0.3644 | Best test Accuracy 0.2804
Epoch 0025/1000| Loss 5.0654 | Train Accuracy 0.3523 | Val Accuracy 0.3408 | Test Accuracy 0.2564 | Best val. Accuracy 0.3644 | Best test Accuracy 0.2804
Epoch 0026/1000| Loss 5.2357 | Train Accuracy 0.3845 | Val Accuracy 0.3758 | Test Accuracy 0.2888 | Best val. Accuracy 0.3758 | Best test Accuracy 0.2888
Epoch 0027/1000| Loss 4.6505 | Train Accuracy 0.4193 | Val Accuracy 0.4168 | Test Accuracy 0.3304 | Best val. Accuracy 0.4168 | Best test Accuracy 0.3304
Epoch 0028/1000| Loss 5.1825 | Train Accuracy 0.3706 | Val Accuracy 0.3568 | Test Accuracy 0.2689 | Best val. Accuracy 0.4168 | Best test Accuracy 0.3304
Epoch 0029/1000| Loss 5.8212 | Train Accuracy 0.3838 | Val Accuracy 0.3757 | Test Accuracy 0.2838 | Best val. Accuracy 0.4168 | Best test Accuracy 0.3304
Epoch 0030/1000| Loss 6.7520 | Train Accuracy 0.3975 | Val Accuracy 0.3923 | Test Accuracy 0.3152 | Best val. Accuracy 0.4168 | Best test Accuracy 0.3304
