
Parameters:
DATA_PATH=./data/
DATASET=ogbn-proteins
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=4
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=gcn
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=True
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with MaxK CUDA kernel acceleration
Graph name for metadata: protein
Kernel mode: auto
Creating GCN model...
Using MaxK-accelerated GCN model
Model parameters: 228,464 total, 228,464 trainable
Graph statistics: 132534 nodes, 79122504 edges
Average degree: 597.00
Feature dimension: 8, Hidden dimension: 256
MaxK value: 4, Nonlinearity: maxk
Starting training...
Epoch 0000/1000| Loss 2490.2632 | Train Accuracy 0.4860 | Val Accuracy 0.4871 | Test Accuracy 0.4947 | Best val. Accuracy 0.4871 | Best test Accuracy 0.4947
Epoch 0001/1000| Loss 1697.5317 | Train Accuracy 0.4778 | Val Accuracy 0.4706 | Test Accuracy 0.4899 | Best val. Accuracy 0.4871 | Best test Accuracy 0.4947
Epoch 0002/1000| Loss 1124.2778 | Train Accuracy 0.4677 | Val Accuracy 0.4530 | Test Accuracy 0.4837 | Best val. Accuracy 0.4871 | Best test Accuracy 0.4947
Epoch 0003/1000| Loss 782.2611 | Train Accuracy 0.4658 | Val Accuracy 0.4448 | Test Accuracy 0.4742 | Best val. Accuracy 0.4871 | Best test Accuracy 0.4947
Epoch 0004/1000| Loss 606.2346 | Train Accuracy 0.4636 | Val Accuracy 0.4390 | Test Accuracy 0.4693 | Best val. Accuracy 0.4871 | Best test Accuracy 0.4947
Epoch 0005/1000| Loss 526.5319 | Train Accuracy 0.4645 | Val Accuracy 0.4361 | Test Accuracy 0.4665 | Best val. Accuracy 0.4871 | Best test Accuracy 0.4947
Epoch 0006/1000| Loss 494.6298 | Train Accuracy 0.4683 | Val Accuracy 0.4319 | Test Accuracy 0.4656 | Best val. Accuracy 0.4871 | Best test Accuracy 0.4947
Epoch 0007/1000| Loss 491.4923 | Train Accuracy 0.4693 | Val Accuracy 0.4306 | Test Accuracy 0.4643 | Best val. Accuracy 0.4871 | Best test Accuracy 0.4947
Epoch 0008/1000| Loss 489.5968 | Train Accuracy 0.4716 | Val Accuracy 0.4339 | Test Accuracy 0.4658 | Best val. Accuracy 0.4871 | Best test Accuracy 0.4947
Epoch 0009/1000| Loss 484.8134 | Train Accuracy 0.4759 | Val Accuracy 0.4387 | Test Accuracy 0.4660 | Best val. Accuracy 0.4871 | Best test Accuracy 0.4947
Epoch 0010/1000| Loss 479.7823 | Train Accuracy 0.4853 | Val Accuracy 0.4466 | Test Accuracy 0.4687 | Best val. Accuracy 0.4871 | Best test Accuracy 0.4947
Epoch 0011/1000| Loss 458.8712 | Train Accuracy 0.4935 | Val Accuracy 0.4522 | Test Accuracy 0.4714 | Best val. Accuracy 0.4871 | Best test Accuracy 0.4947
Epoch 0012/1000| Loss 446.6279 | Train Accuracy 0.5019 | Val Accuracy 0.4595 | Test Accuracy 0.4753 | Best val. Accuracy 0.4871 | Best test Accuracy 0.4947
Epoch 0013/1000| Loss 430.1368 | Train Accuracy 0.5072 | Val Accuracy 0.4657 | Test Accuracy 0.4804 | Best val. Accuracy 0.4871 | Best test Accuracy 0.4947
Epoch 0014/1000| Loss 413.7372 | Train Accuracy 0.5150 | Val Accuracy 0.4744 | Test Accuracy 0.4834 | Best val. Accuracy 0.4871 | Best test Accuracy 0.4947
