
Parameters:
DATA_PATH=./data/
DATASET=ogbn-proteins
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=4
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=gcn
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=False
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with DGL built-in convolution modules
Creating GCN model...
Using standard DGL GCN model
Model parameters: 229,232 total, 229,232 trainable
Graph statistics: 132534 nodes, 79122504 edges
Average degree: 597.00
Feature dimension: 8, Hidden dimension: 256
MaxK value: 4, Nonlinearity: maxk
Starting training...
Epoch 0000/1000| Loss 0.7017 | Train Accuracy 0.4640 | Val Accuracy 0.4649 | Test Accuracy 0.4754 | Best val. Accuracy 0.4649 | Best test Accuracy 0.4754
Epoch 0001/1000| Loss 0.6837 | Train Accuracy 0.4390 | Val Accuracy 0.4309 | Test Accuracy 0.4456 | Best val. Accuracy 0.4649 | Best test Accuracy 0.4754
Epoch 0002/1000| Loss 0.6259 | Train Accuracy 0.4272 | Val Accuracy 0.4167 | Test Accuracy 0.4358 | Best val. Accuracy 0.4649 | Best test Accuracy 0.4754
Epoch 0003/1000| Loss 0.5657 | Train Accuracy 0.3955 | Val Accuracy 0.3791 | Test Accuracy 0.4111 | Best val. Accuracy 0.4649 | Best test Accuracy 0.4754
Epoch 0004/1000| Loss 0.5458 | Train Accuracy 0.3855 | Val Accuracy 0.3620 | Test Accuracy 0.3963 | Best val. Accuracy 0.4649 | Best test Accuracy 0.4754
Epoch 0005/1000| Loss 0.4849 | Train Accuracy 0.4070 | Val Accuracy 0.3706 | Test Accuracy 0.3935 | Best val. Accuracy 0.4649 | Best test Accuracy 0.4754
Epoch 0006/1000| Loss 0.4379 | Train Accuracy 0.4298 | Val Accuracy 0.3564 | Test Accuracy 0.3716 | Best val. Accuracy 0.4649 | Best test Accuracy 0.4754
Epoch 0007/1000| Loss 0.4106 | Train Accuracy 0.4133 | Val Accuracy 0.3288 | Test Accuracy 0.3690 | Best val. Accuracy 0.4649 | Best test Accuracy 0.4754
Epoch 0008/1000| Loss 0.3910 | Train Accuracy 0.3962 | Val Accuracy 0.3313 | Test Accuracy 0.3875 | Best val. Accuracy 0.4649 | Best test Accuracy 0.4754
Epoch 0009/1000| Loss 0.3774 | Train Accuracy 0.4269 | Val Accuracy 0.3480 | Test Accuracy 0.3819 | Best val. Accuracy 0.4649 | Best test Accuracy 0.4754
Epoch 0010/1000| Loss 0.3635 | Train Accuracy 0.4478 | Val Accuracy 0.3514 | Test Accuracy 0.3784 | Best val. Accuracy 0.4649 | Best test Accuracy 0.4754
Epoch 0011/1000| Loss 0.3593 | Train Accuracy 0.4149 | Val Accuracy 0.3480 | Test Accuracy 0.3889 | Best val. Accuracy 0.4649 | Best test Accuracy 0.4754
Epoch 0012/1000| Loss 0.3599 | Train Accuracy 0.4497 | Val Accuracy 0.3759 | Test Accuracy 0.3947 | Best val. Accuracy 0.4649 | Best test Accuracy 0.4754
Epoch 0013/1000| Loss 0.3575 | Train Accuracy 0.6438 | Val Accuracy 0.6514 | Test Accuracy 0.5861 | Best val. Accuracy 0.6514 | Best test Accuracy 0.5861
Epoch 0014/1000| Loss 0.3506 | Train Accuracy 0.6751 | Val Accuracy 0.6782 | Test Accuracy 0.6202 | Best val. Accuracy 0.6782 | Best test Accuracy 0.6202
Epoch 0015/1000| Loss 0.3464 | Train Accuracy 0.6876 | Val Accuracy 0.6570 | Test Accuracy 0.6196 | Best val. Accuracy 0.6782 | Best test Accuracy 0.6202
Epoch 0016/1000| Loss 0.3423 | Train Accuracy 0.6867 | Val Accuracy 0.6608 | Test Accuracy 0.6185 | Best val. Accuracy 0.6782 | Best test Accuracy 0.6202
Epoch 0017/1000| Loss 0.3576 | Train Accuracy 0.6756 | Val Accuracy 0.6690 | Test Accuracy 0.6220 | Best val. Accuracy 0.6782 | Best test Accuracy 0.6202
Epoch 0018/1000| Loss 0.3504 | Train Accuracy 0.6937 | Val Accuracy 0.6841 | Test Accuracy 0.6254 | Best val. Accuracy 0.6841 | Best test Accuracy 0.6254
Epoch 0019/1000| Loss 0.3366 | Train Accuracy 0.6965 | Val Accuracy 0.6988 | Test Accuracy 0.6535 | Best val. Accuracy 0.6988 | Best test Accuracy 0.6535
Epoch 0020: Avg Forward 39.072ms, Avg Backward 32.480ms, Total per epoch 71.552ms
Epoch 0020/1000| Loss 0.3329 | Train Accuracy 0.6843 | Val Accuracy 0.6940 | Test Accuracy 0.6561 | Best val. Accuracy 0.6988 | Best test Accuracy 0.6535
Epoch 0021/1000| Loss 0.3353 | Train Accuracy 0.7087 | Val Accuracy 0.7058 | Test Accuracy 0.6630 | Best val. Accuracy 0.7058 | Best test Accuracy 0.6630
Epoch 0022/1000| Loss 0.3277 | Train Accuracy 0.7127 | Val Accuracy 0.7082 | Test Accuracy 0.6587 | Best val. Accuracy 0.7082 | Best test Accuracy 0.6587
Epoch 0023/1000| Loss 0.3360 | Train Accuracy 0.7138 | Val Accuracy 0.7087 | Test Accuracy 0.6665 | Best val. Accuracy 0.7087 | Best test Accuracy 0.6665
Epoch 0024/1000| Loss 0.3329 | Train Accuracy 0.7186 | Val Accuracy 0.7139 | Test Accuracy 0.6624 | Best val. Accuracy 0.7139 | Best test Accuracy 0.6624
Epoch 0025/1000| Loss 0.3332 | Train Accuracy 0.7216 | Val Accuracy 0.7134 | Test Accuracy 0.6541 | Best val. Accuracy 0.7139 | Best test Accuracy 0.6624
Epoch 0026/1000| Loss 0.3235 | Train Accuracy 0.7246 | Val Accuracy 0.7126 | Test Accuracy 0.6476 | Best val. Accuracy 0.7139 | Best test Accuracy 0.6624
Epoch 0027/1000| Loss 0.3251 | Train Accuracy 0.7268 | Val Accuracy 0.7104 | Test Accuracy 0.6448 | Best val. Accuracy 0.7139 | Best test Accuracy 0.6624
Epoch 0028/1000| Loss 0.3240 | Train Accuracy 0.7235 | Val Accuracy 0.7136 | Test Accuracy 0.6625 | Best val. Accuracy 0.7139 | Best test Accuracy 0.6624
Epoch 0029/1000| Loss 0.3203 | Train Accuracy 0.7260 | Val Accuracy 0.7159 | Test Accuracy 0.6693 | Best val. Accuracy 0.7159 | Best test Accuracy 0.6693
Epoch 0030/1000| Loss 0.3223 | Train Accuracy 0.7314 | Val Accuracy 0.7137 | Test Accuracy 0.6648 | Best val. Accuracy 0.7159 | Best test Accuracy 0.6693
Epoch 0031/1000| Loss 0.3209 | Train Accuracy 0.7308 | Val Accuracy 0.7156 | Test Accuracy 0.6563 | Best val. Accuracy 0.7159 | Best test Accuracy 0.6693
Epoch 0032/1000| Loss 0.3166 | Train Accuracy 0.7326 | Val Accuracy 0.7176 | Test Accuracy 0.6585 | Best val. Accuracy 0.7176 | Best test Accuracy 0.6585
Epoch 0033/1000| Loss 0.3168 | Train Accuracy 0.7236 | Val Accuracy 0.7129 | Test Accuracy 0.6634 | Best val. Accuracy 0.7176 | Best test Accuracy 0.6585
Epoch 0034/1000| Loss 0.3256 | Train Accuracy 0.7203 | Val Accuracy 0.6981 | Test Accuracy 0.6582 | Best val. Accuracy 0.7176 | Best test Accuracy 0.6585
Epoch 0035/1000| Loss 0.3219 | Train Accuracy 0.7123 | Val Accuracy 0.7057 | Test Accuracy 0.6649 | Best val. Accuracy 0.7176 | Best test Accuracy 0.6585
Epoch 0036/1000| Loss 0.3302 | Train Accuracy 0.7319 | Val Accuracy 0.7225 | Test Accuracy 0.6626 | Best val. Accuracy 0.7225 | Best test Accuracy 0.6626
Epoch 0037/1000| Loss 0.3148 | Train Accuracy 0.7356 | Val Accuracy 0.7238 | Test Accuracy 0.6642 | Best val. Accuracy 0.7238 | Best test Accuracy 0.6642
Epoch 0038/1000| Loss 0.3137 | Train Accuracy 0.7297 | Val Accuracy 0.7278 | Test Accuracy 0.6687 | Best val. Accuracy 0.7278 | Best test Accuracy 0.6687
Epoch 0039/1000| Loss 0.3167 | Train Accuracy 0.7331 | Val Accuracy 0.7276 | Test Accuracy 0.6695 | Best val. Accuracy 0.7278 | Best test Accuracy 0.6687
Epoch 0040: Avg Forward 39.109ms, Avg Backward 32.486ms, Total per epoch 71.595ms
Epoch 0040/1000| Loss 0.3154 | Train Accuracy 0.7340 | Val Accuracy 0.7221 | Test Accuracy 0.6622 | Best val. Accuracy 0.7278 | Best test Accuracy 0.6687
Epoch 0041/1000| Loss 0.3137 | Train Accuracy 0.7350 | Val Accuracy 0.7231 | Test Accuracy 0.6612 | Best val. Accuracy 0.7278 | Best test Accuracy 0.6687
Epoch 0042/1000| Loss 0.3132 | Train Accuracy 0.7356 | Val Accuracy 0.7225 | Test Accuracy 0.6636 | Best val. Accuracy 0.7278 | Best test Accuracy 0.6687
Epoch 0043/1000| Loss 0.3131 | Train Accuracy 0.7365 | Val Accuracy 0.7224 | Test Accuracy 0.6628 | Best val. Accuracy 0.7278 | Best test Accuracy 0.6687
Epoch 0044/1000| Loss 0.3124 | Train Accuracy 0.7367 | Val Accuracy 0.7237 | Test Accuracy 0.6649 | Best val. Accuracy 0.7278 | Best test Accuracy 0.6687
Epoch 0045/1000| Loss 0.3115 | Train Accuracy 0.7387 | Val Accuracy 0.7268 | Test Accuracy 0.6686 | Best val. Accuracy 0.7278 | Best test Accuracy 0.6687
Epoch 0046/1000| Loss 0.3111 | Train Accuracy 0.7391 | Val Accuracy 0.7275 | Test Accuracy 0.6714 | Best val. Accuracy 0.7278 | Best test Accuracy 0.6687
Epoch 0047/1000| Loss 0.3110 | Train Accuracy 0.7222 | Val Accuracy 0.7124 | Test Accuracy 0.6720 | Best val. Accuracy 0.7278 | Best test Accuracy 0.6687
Epoch 0048/1000| Loss 0.3202 | Train Accuracy 0.7433 | Val Accuracy 0.7276 | Test Accuracy 0.6718 | Best val. Accuracy 0.7278 | Best test Accuracy 0.6687
Epoch 0049/1000| Loss 0.3106 | Train Accuracy 0.7440 | Val Accuracy 0.7286 | Test Accuracy 0.6751 | Best val. Accuracy 0.7286 | Best test Accuracy 0.6751
Epoch 0050/1000| Loss 0.3094 | Train Accuracy 0.7437 | Val Accuracy 0.7306 | Test Accuracy 0.6773 | Best val. Accuracy 0.7306 | Best test Accuracy 0.6773
Epoch 0051/1000| Loss 0.3090 | Train Accuracy 0.7425 | Val Accuracy 0.7309 | Test Accuracy 0.6760 | Best val. Accuracy 0.7309 | Best test Accuracy 0.6760
Epoch 0052/1000| Loss 0.3096 | Train Accuracy 0.7464 | Val Accuracy 0.7273 | Test Accuracy 0.6731 | Best val. Accuracy 0.7309 | Best test Accuracy 0.6760
Epoch 0053/1000| Loss 0.3092 | Train Accuracy 0.7461 | Val Accuracy 0.7286 | Test Accuracy 0.6744 | Best val. Accuracy 0.7309 | Best test Accuracy 0.6760
Epoch 0054/1000| Loss 0.3087 | Train Accuracy 0.7477 | Val Accuracy 0.7312 | Test Accuracy 0.6776 | Best val. Accuracy 0.7312 | Best test Accuracy 0.6776
Epoch 0055/1000| Loss 0.3084 | Train Accuracy 0.7471 | Val Accuracy 0.7307 | Test Accuracy 0.6773 | Best val. Accuracy 0.7312 | Best test Accuracy 0.6776
Epoch 0056/1000| Loss 0.3082 | Train Accuracy 0.7481 | Val Accuracy 0.7324 | Test Accuracy 0.6776 | Best val. Accuracy 0.7324 | Best test Accuracy 0.6776
