
Parameters:
DATA_PATH=./data/
DATASET=ogbn-proteins
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=128
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=gin
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=False
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with DGL built-in convolution modules
Creating GIN model...
Using standard DGL GIN model
Model parameters: 228,467 total, 228,467 trainable
Graph statistics: 132534 nodes, 79122504 edges
Average degree: 597.00
Feature dimension: 8, Hidden dimension: 256
MaxK value: 128, Nonlinearity: maxk
Starting training...
Epoch 0000/1000| Loss 3434810112.0000 | Train Accuracy 0.4556 | Val Accuracy 0.4501 | Test Accuracy 0.4624 | Best val. Accuracy 0.4501 | Best test Accuracy 0.4624
Epoch 0001/1000| Loss 13892907008.0000 | Train Accuracy 0.4493 | Val Accuracy 0.4456 | Test Accuracy 0.4633 | Best val. Accuracy 0.4501 | Best test Accuracy 0.4624
Epoch 0002/1000| Loss 2590189056.0000 | Train Accuracy 0.4329 | Val Accuracy 0.4322 | Test Accuracy 0.4525 | Best val. Accuracy 0.4501 | Best test Accuracy 0.4624
Epoch 0003/1000| Loss 3389553152.0000 | Train Accuracy 0.4689 | Val Accuracy 0.4719 | Test Accuracy 0.4754 | Best val. Accuracy 0.4719 | Best test Accuracy 0.4754
Epoch 0004/1000| Loss 6507588608.0000 | Train Accuracy 0.5099 | Val Accuracy 0.4987 | Test Accuracy 0.4949 | Best val. Accuracy 0.4987 | Best test Accuracy 0.4949
Epoch 0005/1000| Loss 7854917120.0000 | Train Accuracy 0.4296 | Val Accuracy 0.4280 | Test Accuracy 0.4545 | Best val. Accuracy 0.4987 | Best test Accuracy 0.4949
Epoch 0006/1000| Loss 6033704960.0000 | Train Accuracy 0.4060 | Val Accuracy 0.4049 | Test Accuracy 0.4407 | Best val. Accuracy 0.4987 | Best test Accuracy 0.4949
Epoch 0007/1000| Loss 5622913024.0000 | Train Accuracy 0.4298 | Val Accuracy 0.4321 | Test Accuracy 0.4631 | Best val. Accuracy 0.4987 | Best test Accuracy 0.4949
Epoch 0008/1000| Loss 4009997568.0000 | Train Accuracy 0.4434 | Val Accuracy 0.4440 | Test Accuracy 0.4748 | Best val. Accuracy 0.4987 | Best test Accuracy 0.4949
Epoch 0009/1000| Loss 3507012352.0000 | Train Accuracy 0.4632 | Val Accuracy 0.4582 | Test Accuracy 0.4746 | Best val. Accuracy 0.4987 | Best test Accuracy 0.4949
Epoch 0010/1000| Loss 2317024000.0000 | Train Accuracy 0.4573 | Val Accuracy 0.4495 | Test Accuracy 0.4613 | Best val. Accuracy 0.4987 | Best test Accuracy 0.4949
Epoch 0011/1000| Loss 1368294912.0000 | Train Accuracy 0.4363 | Val Accuracy 0.4250 | Test Accuracy 0.4511 | Best val. Accuracy 0.4987 | Best test Accuracy 0.4949
Epoch 0012/1000| Loss 1237449344.0000 | Train Accuracy 0.4108 | Val Accuracy 0.3887 | Test Accuracy 0.4340 | Best val. Accuracy 0.4987 | Best test Accuracy 0.4949
Epoch 0013/1000| Loss 847644672.0000 | Train Accuracy 0.4131 | Val Accuracy 0.4012 | Test Accuracy 0.4381 | Best val. Accuracy 0.4987 | Best test Accuracy 0.4949
Epoch 0014/1000| Loss 639568000.0000 | Train Accuracy 0.4204 | Val Accuracy 0.4188 | Test Accuracy 0.4545 | Best val. Accuracy 0.4987 | Best test Accuracy 0.4949
Epoch 0015/1000| Loss 640868032.0000 | Train Accuracy 0.4247 | Val Accuracy 0.4299 | Test Accuracy 0.4620 | Best val. Accuracy 0.4987 | Best test Accuracy 0.4949
Epoch 0016/1000| Loss 636122624.0000 | Train Accuracy 0.4498 | Val Accuracy 0.4385 | Test Accuracy 0.4673 | Best val. Accuracy 0.4987 | Best test Accuracy 0.4949
Epoch 0017/1000| Loss 698052416.0000 | Train Accuracy 0.4801 | Val Accuracy 0.4846 | Test Accuracy 0.4922 | Best val. Accuracy 0.4987 | Best test Accuracy 0.4949
Epoch 0018/1000| Loss 813886336.0000 | Train Accuracy 0.4475 | Val Accuracy 0.4445 | Test Accuracy 0.4628 | Best val. Accuracy 0.4987 | Best test Accuracy 0.4949
Epoch 0019/1000| Loss 576701696.0000 | Train Accuracy 0.4578 | Val Accuracy 0.4490 | Test Accuracy 0.4637 | Best val. Accuracy 0.4987 | Best test Accuracy 0.4949
Epoch 0020: Avg Forward 41.079ms, Avg Backward 32.455ms, Total per epoch 73.534ms
