
Parameters:
DATA_PATH=./data/
DATASET=ogbn-proteins
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=16
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=gin
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=True
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with MaxK CUDA kernel acceleration
Graph name for metadata: protein
Kernel mode: auto
Creating GIN model...
Using MaxK-accelerated GIN model
Model parameters: 228,467 total, 228,467 trainable
Graph statistics: 132534 nodes, 79122504 edges
Average degree: 597.00
Feature dimension: 8, Hidden dimension: 256
MaxK value: 16, Nonlinearity: maxk
Starting training...
Epoch 0000/1000| Loss 3.7685 | Train Accuracy 0.4675 | Val Accuracy 0.4620 | Test Accuracy 0.4827 | Best val. Accuracy 0.4620 | Best test Accuracy 0.4827
Epoch 0001/1000| Loss 1.0358 | Train Accuracy 0.4799 | Val Accuracy 0.4464 | Test Accuracy 0.4630 | Best val. Accuracy 0.4620 | Best test Accuracy 0.4827
Epoch 0002/1000| Loss 0.6046 | Train Accuracy 0.4269 | Val Accuracy 0.4527 | Test Accuracy 0.4994 | Best val. Accuracy 0.4620 | Best test Accuracy 0.4827
Epoch 0003/1000| Loss 0.6256 | Train Accuracy 0.4126 | Val Accuracy 0.3944 | Test Accuracy 0.4220 | Best val. Accuracy 0.4620 | Best test Accuracy 0.4827
Epoch 0004/1000| Loss 0.5810 | Train Accuracy 0.5804 | Val Accuracy 0.5358 | Test Accuracy 0.4939 | Best val. Accuracy 0.5358 | Best test Accuracy 0.4939
Epoch 0005/1000| Loss 0.7208 | Train Accuracy 0.5473 | Val Accuracy 0.4677 | Test Accuracy 0.4840 | Best val. Accuracy 0.5358 | Best test Accuracy 0.4939
Epoch 0006/1000| Loss 0.6126 | Train Accuracy 0.4182 | Val Accuracy 0.3535 | Test Accuracy 0.4394 | Best val. Accuracy 0.5358 | Best test Accuracy 0.4939
Epoch 0007/1000| Loss 0.6035 | Train Accuracy 0.6169 | Val Accuracy 0.4873 | Test Accuracy 0.5103 | Best val. Accuracy 0.5358 | Best test Accuracy 0.4939
Epoch 0008/1000| Loss 0.4920 | Train Accuracy 0.5368 | Val Accuracy 0.4579 | Test Accuracy 0.4694 | Best val. Accuracy 0.5358 | Best test Accuracy 0.4939
Epoch 0009/1000| Loss 0.5007 | Train Accuracy 0.5693 | Val Accuracy 0.5260 | Test Accuracy 0.5549 | Best val. Accuracy 0.5358 | Best test Accuracy 0.4939
Epoch 0010/1000| Loss 0.4871 | Train Accuracy 0.4479 | Val Accuracy 0.3604 | Test Accuracy 0.4076 | Best val. Accuracy 0.5358 | Best test Accuracy 0.4939
Epoch 0011/1000| Loss 0.4621 | Train Accuracy 0.5496 | Val Accuracy 0.4421 | Test Accuracy 0.4410 | Best val. Accuracy 0.5358 | Best test Accuracy 0.4939
Epoch 0012/1000| Loss 0.4398 | Train Accuracy 0.4610 | Val Accuracy 0.3762 | Test Accuracy 0.4293 | Best val. Accuracy 0.5358 | Best test Accuracy 0.4939
Epoch 0013/1000| Loss 0.4266 | Train Accuracy 0.5801 | Val Accuracy 0.4595 | Test Accuracy 0.4735 | Best val. Accuracy 0.5358 | Best test Accuracy 0.4939
Epoch 0014/1000| Loss 0.4220 | Train Accuracy 0.5464 | Val Accuracy 0.4681 | Test Accuracy 0.4607 | Best val. Accuracy 0.5358 | Best test Accuracy 0.4939
Epoch 0015/1000| Loss 0.4197 | Train Accuracy 0.5355 | Val Accuracy 0.4425 | Test Accuracy 0.4585 | Best val. Accuracy 0.5358 | Best test Accuracy 0.4939
Epoch 0016/1000| Loss 0.4311 | Train Accuracy 0.4968 | Val Accuracy 0.4335 | Test Accuracy 0.4879 | Best val. Accuracy 0.5358 | Best test Accuracy 0.4939
Epoch 0017/1000| Loss 0.4090 | Train Accuracy 0.5697 | Val Accuracy 0.4788 | Test Accuracy 0.5524 | Best val. Accuracy 0.5358 | Best test Accuracy 0.4939
Epoch 0018/1000| Loss 0.3919 | Train Accuracy 0.5996 | Val Accuracy 0.5358 | Test Accuracy 0.5480 | Best val. Accuracy 0.5358 | Best test Accuracy 0.4939
Epoch 0019/1000| Loss 0.3982 | Train Accuracy 0.6213 | Val Accuracy 0.5671 | Test Accuracy 0.5400 | Best val. Accuracy 0.5671 | Best test Accuracy 0.5400
Epoch 0020: Avg Forward 21.019ms, Avg Backward 10.942ms, Total per epoch 31.961ms
Epoch 0020/1000| Loss 0.3806 | Train Accuracy 0.6041 | Val Accuracy 0.5662 | Test Accuracy 0.5554 | Best val. Accuracy 0.5671 | Best test Accuracy 0.5400
Epoch 0021/1000| Loss 0.3743 | Train Accuracy 0.6297 | Val Accuracy 0.5532 | Test Accuracy 0.5380 | Best val. Accuracy 0.5671 | Best test Accuracy 0.5400
Epoch 0022/1000| Loss 0.3744 | Train Accuracy 0.5808 | Val Accuracy 0.4928 | Test Accuracy 0.5132 | Best val. Accuracy 0.5671 | Best test Accuracy 0.5400
Epoch 0023/1000| Loss 0.3666 | Train Accuracy 0.6263 | Val Accuracy 0.5950 | Test Accuracy 0.5727 | Best val. Accuracy 0.5950 | Best test Accuracy 0.5727
Epoch 0024/1000| Loss 0.3775 | Train Accuracy 0.6482 | Val Accuracy 0.6289 | Test Accuracy 0.6197 | Best val. Accuracy 0.6289 | Best test Accuracy 0.6197
Epoch 0025/1000| Loss 0.3642 | Train Accuracy 0.6819 | Val Accuracy 0.6402 | Test Accuracy 0.5604 | Best val. Accuracy 0.6402 | Best test Accuracy 0.5604
Epoch 0026/1000| Loss 0.4740 | Train Accuracy 0.5501 | Val Accuracy 0.4437 | Test Accuracy 0.4458 | Best val. Accuracy 0.6402 | Best test Accuracy 0.5604
Epoch 0027/1000| Loss 0.3957 | Train Accuracy 0.6458 | Val Accuracy 0.6060 | Test Accuracy 0.5730 | Best val. Accuracy 0.6402 | Best test Accuracy 0.5604
Epoch 0028/1000| Loss 0.3756 | Train Accuracy 0.6714 | Val Accuracy 0.6177 | Test Accuracy 0.5753 | Best val. Accuracy 0.6402 | Best test Accuracy 0.5604
Epoch 0029/1000| Loss 0.3578 | Train Accuracy 0.6769 | Val Accuracy 0.6307 | Test Accuracy 0.6184 | Best val. Accuracy 0.6402 | Best test Accuracy 0.5604
Epoch 0030/1000| Loss 0.3671 | Train Accuracy 0.6346 | Val Accuracy 0.5740 | Test Accuracy 0.5581 | Best val. Accuracy 0.6402 | Best test Accuracy 0.5604
Epoch 0031/1000| Loss 0.3628 | Train Accuracy 0.6643 | Val Accuracy 0.5799 | Test Accuracy 0.5728 | Best val. Accuracy 0.6402 | Best test Accuracy 0.5604
Epoch 0032/1000| Loss 0.3816 | Train Accuracy 0.6583 | Val Accuracy 0.5436 | Test Accuracy 0.5310 | Best val. Accuracy 0.6402 | Best test Accuracy 0.5604
Epoch 0033/1000| Loss 0.3587 | Train Accuracy 0.6684 | Val Accuracy 0.5513 | Test Accuracy 0.5192 | Best val. Accuracy 0.6402 | Best test Accuracy 0.5604
Epoch 0034/1000| Loss 0.3514 | Train Accuracy 0.6913 | Val Accuracy 0.6036 | Test Accuracy 0.5793 | Best val. Accuracy 0.6402 | Best test Accuracy 0.5604
Epoch 0035/1000| Loss 0.3454 | Train Accuracy 0.7121 | Val Accuracy 0.6725 | Test Accuracy 0.6462 | Best val. Accuracy 0.6725 | Best test Accuracy 0.6462
Epoch 0036/1000| Loss 0.3424 | Train Accuracy 0.7144 | Val Accuracy 0.6807 | Test Accuracy 0.6592 | Best val. Accuracy 0.6807 | Best test Accuracy 0.6592
Epoch 0037/1000| Loss 0.3396 | Train Accuracy 0.7177 | Val Accuracy 0.6995 | Test Accuracy 0.6686 | Best val. Accuracy 0.6995 | Best test Accuracy 0.6686
Epoch 0038/1000| Loss 0.3551 | Train Accuracy 0.7165 | Val Accuracy 0.6948 | Test Accuracy 0.6659 | Best val. Accuracy 0.6995 | Best test Accuracy 0.6686
Epoch 0039/1000| Loss 0.3353 | Train Accuracy 0.7245 | Val Accuracy 0.7188 | Test Accuracy 0.6718 | Best val. Accuracy 0.7188 | Best test Accuracy 0.6718
Epoch 0040: Avg Forward 20.816ms, Avg Backward 10.888ms, Total per epoch 31.704ms
Epoch 0040/1000| Loss 0.3284 | Train Accuracy 0.7295 | Val Accuracy 0.7304 | Test Accuracy 0.6722 | Best val. Accuracy 0.7304 | Best test Accuracy 0.6722
Epoch 0041/1000| Loss 0.3343 | Train Accuracy 0.7096 | Val Accuracy 0.7024 | Test Accuracy 0.6632 | Best val. Accuracy 0.7304 | Best test Accuracy 0.6722
Epoch 0042/1000| Loss 0.3381 | Train Accuracy 0.7201 | Val Accuracy 0.6932 | Test Accuracy 0.6435 | Best val. Accuracy 0.7304 | Best test Accuracy 0.6722
Epoch 0043/1000| Loss 0.3415 | Train Accuracy 0.7128 | Val Accuracy 0.6820 | Test Accuracy 0.6438 | Best val. Accuracy 0.7304 | Best test Accuracy 0.6722
Epoch 0044/1000| Loss 0.3391 | Train Accuracy 0.7214 | Val Accuracy 0.7062 | Test Accuracy 0.6682 | Best val. Accuracy 0.7304 | Best test Accuracy 0.6722
Epoch 0045/1000| Loss 0.3341 | Train Accuracy 0.7263 | Val Accuracy 0.6943 | Test Accuracy 0.6542 | Best val. Accuracy 0.7304 | Best test Accuracy 0.6722
Epoch 0046/1000| Loss 0.3274 | Train Accuracy 0.6497 | Val Accuracy 0.6297 | Test Accuracy 0.5797 | Best val. Accuracy 0.7304 | Best test Accuracy 0.6722
Epoch 0047/1000| Loss 0.5358 | Train Accuracy 0.7108 | Val Accuracy 0.7004 | Test Accuracy 0.6757 | Best val. Accuracy 0.7304 | Best test Accuracy 0.6722
Epoch 0048/1000| Loss 0.3676 | Train Accuracy 0.6527 | Val Accuracy 0.6105 | Test Accuracy 0.5963 | Best val. Accuracy 0.7304 | Best test Accuracy 0.6722
Epoch 0049/1000| Loss 0.3498 | Train Accuracy 0.7082 | Val Accuracy 0.6615 | Test Accuracy 0.6346 | Best val. Accuracy 0.7304 | Best test Accuracy 0.6722
Epoch 0050/1000| Loss 0.3347 | Train Accuracy 0.7092 | Val Accuracy 0.6520 | Test Accuracy 0.5973 | Best val. Accuracy 0.7304 | Best test Accuracy 0.6722
