
Parameters:
DATA_PATH=./data/
DATASET=ogbn-proteins
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=4
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=sage
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=True
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with MaxK CUDA kernel acceleration
Graph name for metadata: protein
Kernel mode: auto
Creating SAGE model...
Using MaxK-accelerated SAGE model
Model parameters: 425,072 total, 425,072 trainable
Graph statistics: 132534 nodes, 79122504 edges
Average degree: 597.00
Feature dimension: 8, Hidden dimension: 256
MaxK value: 4, Nonlinearity: maxk
Starting training...
Epoch 0000/1000| Loss 1.4539 | Train Accuracy 0.4414 | Val Accuracy 0.4460 | Test Accuracy 0.4689 | Best val. Accuracy 0.4460 | Best test Accuracy 0.4689
Epoch 0001/1000| Loss 0.7114 | Train Accuracy 0.4024 | Val Accuracy 0.3962 | Test Accuracy 0.4464 | Best val. Accuracy 0.4460 | Best test Accuracy 0.4689
Epoch 0002/1000| Loss 0.5030 | Train Accuracy 0.4104 | Val Accuracy 0.3879 | Test Accuracy 0.4400 | Best val. Accuracy 0.4460 | Best test Accuracy 0.4689
Epoch 0003/1000| Loss 0.4692 | Train Accuracy 0.4342 | Val Accuracy 0.4008 | Test Accuracy 0.4467 | Best val. Accuracy 0.4460 | Best test Accuracy 0.4689
Epoch 0004/1000| Loss 0.4473 | Train Accuracy 0.4536 | Val Accuracy 0.4173 | Test Accuracy 0.4648 | Best val. Accuracy 0.4460 | Best test Accuracy 0.4689
Epoch 0005/1000| Loss 0.4469 | Train Accuracy 0.4857 | Val Accuracy 0.4367 | Test Accuracy 0.5001 | Best val. Accuracy 0.4460 | Best test Accuracy 0.4689
Epoch 0006/1000| Loss 0.4359 | Train Accuracy 0.5260 | Val Accuracy 0.4741 | Test Accuracy 0.5303 | Best val. Accuracy 0.4741 | Best test Accuracy 0.5303
Epoch 0007/1000| Loss 0.4147 | Train Accuracy 0.5339 | Val Accuracy 0.4751 | Test Accuracy 0.5251 | Best val. Accuracy 0.4751 | Best test Accuracy 0.5251
Epoch 0008/1000| Loss 0.4125 | Train Accuracy 0.5445 | Val Accuracy 0.4837 | Test Accuracy 0.4983 | Best val. Accuracy 0.4837 | Best test Accuracy 0.4983
Epoch 0009/1000| Loss 0.4063 | Train Accuracy 0.5686 | Val Accuracy 0.5016 | Test Accuracy 0.4988 | Best val. Accuracy 0.5016 | Best test Accuracy 0.4988
Epoch 0010/1000| Loss 0.3782 | Train Accuracy 0.6157 | Val Accuracy 0.5599 | Test Accuracy 0.5227 | Best val. Accuracy 0.5599 | Best test Accuracy 0.5227
Epoch 0011/1000| Loss 0.3617 | Train Accuracy 0.6569 | Val Accuracy 0.5981 | Test Accuracy 0.5226 | Best val. Accuracy 0.5981 | Best test Accuracy 0.5226
Epoch 0012/1000| Loss 0.3494 | Train Accuracy 0.6505 | Val Accuracy 0.5793 | Test Accuracy 0.5034 | Best val. Accuracy 0.5981 | Best test Accuracy 0.5226
Epoch 0013/1000| Loss 0.3457 | Train Accuracy 0.6815 | Val Accuracy 0.6079 | Test Accuracy 0.5473 | Best val. Accuracy 0.6079 | Best test Accuracy 0.5473
Epoch 0014/1000| Loss 0.3398 | Train Accuracy 0.6894 | Val Accuracy 0.6357 | Test Accuracy 0.5809 | Best val. Accuracy 0.6357 | Best test Accuracy 0.5809
Epoch 0015/1000| Loss 0.3364 | Train Accuracy 0.6941 | Val Accuracy 0.6515 | Test Accuracy 0.6056 | Best val. Accuracy 0.6515 | Best test Accuracy 0.6056
Epoch 0016/1000| Loss 0.3328 | Train Accuracy 0.6964 | Val Accuracy 0.6659 | Test Accuracy 0.6156 | Best val. Accuracy 0.6659 | Best test Accuracy 0.6156
Epoch 0017/1000| Loss 0.3319 | Train Accuracy 0.7024 | Val Accuracy 0.6661 | Test Accuracy 0.6062 | Best val. Accuracy 0.6661 | Best test Accuracy 0.6062
Epoch 0018/1000| Loss 0.3313 | Train Accuracy 0.7007 | Val Accuracy 0.6759 | Test Accuracy 0.6349 | Best val. Accuracy 0.6759 | Best test Accuracy 0.6349
Epoch 0019/1000| Loss 0.3316 | Train Accuracy 0.7074 | Val Accuracy 0.6805 | Test Accuracy 0.6213 | Best val. Accuracy 0.6805 | Best test Accuracy 0.6213
Epoch 0020: Avg Forward 20.681ms, Avg Backward 9.253ms, Total per epoch 29.933ms
Epoch 0020/1000| Loss 0.3288 | Train Accuracy 0.7075 | Val Accuracy 0.6881 | Test Accuracy 0.6202 | Best val. Accuracy 0.6881 | Best test Accuracy 0.6202
Epoch 0021/1000| Loss 0.3280 | Train Accuracy 0.7033 | Val Accuracy 0.6880 | Test Accuracy 0.6280 | Best val. Accuracy 0.6881 | Best test Accuracy 0.6202
Epoch 0022/1000| Loss 0.3292 | Train Accuracy 0.6878 | Val Accuracy 0.6442 | Test Accuracy 0.5837 | Best val. Accuracy 0.6881 | Best test Accuracy 0.6202
Epoch 0023/1000| Loss 0.3314 | Train Accuracy 0.6990 | Val Accuracy 0.6738 | Test Accuracy 0.6103 | Best val. Accuracy 0.6881 | Best test Accuracy 0.6202
Epoch 0024/1000| Loss 0.3254 | Train Accuracy 0.7103 | Val Accuracy 0.6892 | Test Accuracy 0.6459 | Best val. Accuracy 0.6892 | Best test Accuracy 0.6459
Epoch 0025/1000| Loss 0.3251 | Train Accuracy 0.7219 | Val Accuracy 0.7031 | Test Accuracy 0.6604 | Best val. Accuracy 0.7031 | Best test Accuracy 0.6604
Epoch 0026/1000| Loss 0.3223 | Train Accuracy 0.7278 | Val Accuracy 0.7073 | Test Accuracy 0.6789 | Best val. Accuracy 0.7073 | Best test Accuracy 0.6789
Epoch 0027/1000| Loss 0.3216 | Train Accuracy 0.7311 | Val Accuracy 0.7174 | Test Accuracy 0.6826 | Best val. Accuracy 0.7174 | Best test Accuracy 0.6826
Epoch 0028/1000| Loss 0.3187 | Train Accuracy 0.7218 | Val Accuracy 0.7138 | Test Accuracy 0.6818 | Best val. Accuracy 0.7174 | Best test Accuracy 0.6826
Epoch 0029/1000| Loss 0.3179 | Train Accuracy 0.7177 | Val Accuracy 0.7101 | Test Accuracy 0.6820 | Best val. Accuracy 0.7174 | Best test Accuracy 0.6826
Epoch 0030/1000| Loss 0.3177 | Train Accuracy 0.7148 | Val Accuracy 0.7088 | Test Accuracy 0.6822 | Best val. Accuracy 0.7174 | Best test Accuracy 0.6826
Epoch 0031/1000| Loss 0.3169 | Train Accuracy 0.7149 | Val Accuracy 0.7153 | Test Accuracy 0.6813 | Best val. Accuracy 0.7174 | Best test Accuracy 0.6826
Epoch 0032/1000| Loss 0.3154 | Train Accuracy 0.7244 | Val Accuracy 0.7323 | Test Accuracy 0.6789 | Best val. Accuracy 0.7323 | Best test Accuracy 0.6789
Epoch 0033/1000| Loss 0.3153 | Train Accuracy 0.7366 | Val Accuracy 0.7301 | Test Accuracy 0.6729 | Best val. Accuracy 0.7323 | Best test Accuracy 0.6789
Epoch 0034/1000| Loss 0.3139 | Train Accuracy 0.7346 | Val Accuracy 0.7341 | Test Accuracy 0.6761 | Best val. Accuracy 0.7341 | Best test Accuracy 0.6761
Epoch 0035/1000| Loss 0.3136 | Train Accuracy 0.7351 | Val Accuracy 0.7292 | Test Accuracy 0.6695 | Best val. Accuracy 0.7341 | Best test Accuracy 0.6761
Epoch 0036/1000| Loss 0.3120 | Train Accuracy 0.7452 | Val Accuracy 0.7336 | Test Accuracy 0.6689 | Best val. Accuracy 0.7341 | Best test Accuracy 0.6761
Epoch 0037/1000| Loss 0.3118 | Train Accuracy 0.7330 | Val Accuracy 0.7245 | Test Accuracy 0.6727 | Best val. Accuracy 0.7341 | Best test Accuracy 0.6761
Epoch 0038/1000| Loss 0.3113 | Train Accuracy 0.7278 | Val Accuracy 0.7164 | Test Accuracy 0.6853 | Best val. Accuracy 0.7341 | Best test Accuracy 0.6761
Epoch 0039/1000| Loss 0.3105 | Train Accuracy 0.7282 | Val Accuracy 0.7144 | Test Accuracy 0.6929 | Best val. Accuracy 0.7341 | Best test Accuracy 0.6761
Epoch 0040: Avg Forward 20.533ms, Avg Backward 9.258ms, Total per epoch 29.791ms
Epoch 0040/1000| Loss 0.3091 | Train Accuracy 0.7347 | Val Accuracy 0.7225 | Test Accuracy 0.6889 | Best val. Accuracy 0.7341 | Best test Accuracy 0.6761
Epoch 0041/1000| Loss 0.3079 | Train Accuracy 0.7306 | Val Accuracy 0.7229 | Test Accuracy 0.6832 | Best val. Accuracy 0.7341 | Best test Accuracy 0.6761
Epoch 0042/1000| Loss 0.3103 | Train Accuracy 0.7362 | Val Accuracy 0.7271 | Test Accuracy 0.7027 | Best val. Accuracy 0.7341 | Best test Accuracy 0.6761
Epoch 0043/1000| Loss 0.3112 | Train Accuracy 0.7347 | Val Accuracy 0.7288 | Test Accuracy 0.6975 | Best val. Accuracy 0.7341 | Best test Accuracy 0.6761
Epoch 0044/1000| Loss 0.3078 | Train Accuracy 0.7315 | Val Accuracy 0.7337 | Test Accuracy 0.6944 | Best val. Accuracy 0.7341 | Best test Accuracy 0.6761
Epoch 0045/1000| Loss 0.3094 | Train Accuracy 0.7599 | Val Accuracy 0.7608 | Test Accuracy 0.7096 | Best val. Accuracy 0.7608 | Best test Accuracy 0.7096
Epoch 0046/1000| Loss 0.3072 | Train Accuracy 0.7628 | Val Accuracy 0.7666 | Test Accuracy 0.7253 | Best val. Accuracy 0.7666 | Best test Accuracy 0.7253
Epoch 0047/1000| Loss 0.3083 | Train Accuracy 0.7662 | Val Accuracy 0.7739 | Test Accuracy 0.7228 | Best val. Accuracy 0.7739 | Best test Accuracy 0.7228
Epoch 0048/1000| Loss 0.3071 | Train Accuracy 0.7655 | Val Accuracy 0.7712 | Test Accuracy 0.7161 | Best val. Accuracy 0.7739 | Best test Accuracy 0.7228
Epoch 0049/1000| Loss 0.3105 | Train Accuracy 0.7603 | Val Accuracy 0.7683 | Test Accuracy 0.7193 | Best val. Accuracy 0.7739 | Best test Accuracy 0.7228
Epoch 0050/1000| Loss 0.3127 | Train Accuracy 0.7693 | Val Accuracy 0.7701 | Test Accuracy 0.7177 | Best val. Accuracy 0.7739 | Best test Accuracy 0.7228
Epoch 0051/1000| Loss 0.3068 | Train Accuracy 0.7641 | Val Accuracy 0.7626 | Test Accuracy 0.7165 | Best val. Accuracy 0.7739 | Best test Accuracy 0.7228
