
Parameters:
DATA_PATH=./data/
DATASET=ogbn-proteins
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=64
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=sage
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=False
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with DGL built-in convolution modules
Creating SAGE model...
Using standard DGL SAGE model
Model parameters: 425,072 total, 425,072 trainable
Graph statistics: 132534 nodes, 79122504 edges
Average degree: 597.00
Feature dimension: 8, Hidden dimension: 256
MaxK value: 64, Nonlinearity: maxk
Starting training...
Epoch 0000/1000| Loss 28.7059 | Train Accuracy 0.4912 | Val Accuracy 0.4708 | Test Accuracy 0.4802 | Best val. Accuracy 0.4708 | Best test Accuracy 0.4802
Epoch 0001/1000| Loss 16.4321 | Train Accuracy 0.3966 | Val Accuracy 0.3871 | Test Accuracy 0.4480 | Best val. Accuracy 0.4708 | Best test Accuracy 0.4802
Epoch 0002/1000| Loss 9.4348 | Train Accuracy 0.4551 | Val Accuracy 0.4240 | Test Accuracy 0.4556 | Best val. Accuracy 0.4708 | Best test Accuracy 0.4802
Epoch 0003/1000| Loss 7.0383 | Train Accuracy 0.6243 | Val Accuracy 0.6098 | Test Accuracy 0.5563 | Best val. Accuracy 0.6098 | Best test Accuracy 0.5563
Epoch 0004/1000| Loss 5.1858 | Train Accuracy 0.4387 | Val Accuracy 0.3830 | Test Accuracy 0.4342 | Best val. Accuracy 0.6098 | Best test Accuracy 0.5563
Epoch 0005/1000| Loss 8.0062 | Train Accuracy 0.4854 | Val Accuracy 0.4260 | Test Accuracy 0.4637 | Best val. Accuracy 0.6098 | Best test Accuracy 0.5563
Epoch 0006/1000| Loss 7.3387 | Train Accuracy 0.5349 | Val Accuracy 0.4756 | Test Accuracy 0.4914 | Best val. Accuracy 0.6098 | Best test Accuracy 0.5563
Epoch 0007/1000| Loss 3.8018 | Train Accuracy 0.5948 | Val Accuracy 0.5481 | Test Accuracy 0.5343 | Best val. Accuracy 0.6098 | Best test Accuracy 0.5563
Epoch 0008/1000| Loss 2.2489 | Train Accuracy 0.5940 | Val Accuracy 0.5735 | Test Accuracy 0.5738 | Best val. Accuracy 0.6098 | Best test Accuracy 0.5563
Epoch 0009/1000| Loss 1.8075 | Train Accuracy 0.5690 | Val Accuracy 0.5698 | Test Accuracy 0.5763 | Best val. Accuracy 0.6098 | Best test Accuracy 0.5563
Epoch 0010/1000| Loss 1.8890 | Train Accuracy 0.5628 | Val Accuracy 0.5602 | Test Accuracy 0.5695 | Best val. Accuracy 0.6098 | Best test Accuracy 0.5563
