
Parameters:
DATA_PATH=./data/
DATASET=yelp
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=16
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=gcn
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=True
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with MaxK CUDA kernel acceleration
Graph name for metadata: yelp
Kernel mode: auto
Creating GCN model...
Using MaxK-accelerated GCN model
Model parameters: 300,132 total, 300,132 trainable
Graph statistics: 716847 nodes, 13954819 edges
Average degree: 19.47
Feature dimension: 300, Hidden dimension: 256
MaxK value: 16, Nonlinearity: maxk
Starting training...
Epoch 0000/1000| Loss 12.8068 | Train Accuracy 0.1648 | Val Accuracy 0.1638 | Test Accuracy 0.1642 | Best val. Accuracy 0.1638 | Best test Accuracy 0.1642
Epoch 0001/1000| Loss 7.3483 | Train Accuracy 0.1802 | Val Accuracy 0.1792 | Test Accuracy 0.1798 | Best val. Accuracy 0.1792 | Best test Accuracy 0.1798
Epoch 0002/1000| Loss 4.1800 | Train Accuracy 0.2052 | Val Accuracy 0.2045 | Test Accuracy 0.2049 | Best val. Accuracy 0.2045 | Best test Accuracy 0.2049
Epoch 0003/1000| Loss 3.0523 | Train Accuracy 0.2219 | Val Accuracy 0.2211 | Test Accuracy 0.2213 | Best val. Accuracy 0.2211 | Best test Accuracy 0.2213
Epoch 0004/1000| Loss 2.5382 | Train Accuracy 0.2105 | Val Accuracy 0.2097 | Test Accuracy 0.2101 | Best val. Accuracy 0.2211 | Best test Accuracy 0.2213
Epoch 0005/1000| Loss 2.5570 | Train Accuracy 0.2082 | Val Accuracy 0.2080 | Test Accuracy 0.2080 | Best val. Accuracy 0.2211 | Best test Accuracy 0.2213
Epoch 0006/1000| Loss 2.6394 | Train Accuracy 0.2034 | Val Accuracy 0.2031 | Test Accuracy 0.2031 | Best val. Accuracy 0.2211 | Best test Accuracy 0.2213
Epoch 0007/1000| Loss 2.7522 | Train Accuracy 0.2316 | Val Accuracy 0.2318 | Test Accuracy 0.2318 | Best val. Accuracy 0.2318 | Best test Accuracy 0.2318
Epoch 0008/1000| Loss 2.8615 | Train Accuracy 0.2423 | Val Accuracy 0.2427 | Test Accuracy 0.2424 | Best val. Accuracy 0.2427 | Best test Accuracy 0.2424
Epoch 0009/1000| Loss 2.8493 | Train Accuracy 0.2587 | Val Accuracy 0.2590 | Test Accuracy 0.2590 | Best val. Accuracy 0.2590 | Best test Accuracy 0.2590
Epoch 0010/1000| Loss 2.7748 | Train Accuracy 0.2671 | Val Accuracy 0.2673 | Test Accuracy 0.2681 | Best val. Accuracy 0.2673 | Best test Accuracy 0.2681
Epoch 0011/1000| Loss 2.7196 | Train Accuracy 0.2799 | Val Accuracy 0.2802 | Test Accuracy 0.2811 | Best val. Accuracy 0.2802 | Best test Accuracy 0.2811
Epoch 0012/1000| Loss 2.5923 | Train Accuracy 0.2838 | Val Accuracy 0.2839 | Test Accuracy 0.2846 | Best val. Accuracy 0.2839 | Best test Accuracy 0.2846
Epoch 0013/1000| Loss 2.5434 | Train Accuracy 0.2860 | Val Accuracy 0.2859 | Test Accuracy 0.2864 | Best val. Accuracy 0.2859 | Best test Accuracy 0.2864
Epoch 0014/1000| Loss 2.4488 | Train Accuracy 0.2779 | Val Accuracy 0.2776 | Test Accuracy 0.2781 | Best val. Accuracy 0.2859 | Best test Accuracy 0.2864
Epoch 0015/1000| Loss 2.2964 | Train Accuracy 0.2502 | Val Accuracy 0.2502 | Test Accuracy 0.2501 | Best val. Accuracy 0.2859 | Best test Accuracy 0.2864
Epoch 0016/1000| Loss 2.2130 | Train Accuracy 0.2302 | Val Accuracy 0.2296 | Test Accuracy 0.2301 | Best val. Accuracy 0.2859 | Best test Accuracy 0.2864
Epoch 0017/1000| Loss 2.1423 | Train Accuracy 0.2100 | Val Accuracy 0.2093 | Test Accuracy 0.2103 | Best val. Accuracy 0.2859 | Best test Accuracy 0.2864
Epoch 0018/1000| Loss 2.1149 | Train Accuracy 0.2098 | Val Accuracy 0.2091 | Test Accuracy 0.2105 | Best val. Accuracy 0.2859 | Best test Accuracy 0.2864
Epoch 0019/1000| Loss 2.0545 | Train Accuracy 0.2334 | Val Accuracy 0.2330 | Test Accuracy 0.2344 | Best val. Accuracy 0.2859 | Best test Accuracy 0.2864
Epoch 0020: Avg Forward 60.909ms, Avg Backward 17.804ms, Total per epoch 78.713ms
Epoch 0020/1000| Loss 1.8596 | Train Accuracy 0.2616 | Val Accuracy 0.2615 | Test Accuracy 0.2625 | Best val. Accuracy 0.2859 | Best test Accuracy 0.2864
Epoch 0021/1000| Loss 1.7466 | Train Accuracy 0.2753 | Val Accuracy 0.2753 | Test Accuracy 0.2758 | Best val. Accuracy 0.2859 | Best test Accuracy 0.2864
Epoch 0022/1000| Loss 1.7115 | Train Accuracy 0.2754 | Val Accuracy 0.2753 | Test Accuracy 0.2761 | Best val. Accuracy 0.2859 | Best test Accuracy 0.2864
Epoch 0023/1000| Loss 1.6268 | Train Accuracy 0.2701 | Val Accuracy 0.2697 | Test Accuracy 0.2714 | Best val. Accuracy 0.2859 | Best test Accuracy 0.2864
Epoch 0024/1000| Loss 1.5548 | Train Accuracy 0.2718 | Val Accuracy 0.2719 | Test Accuracy 0.2731 | Best val. Accuracy 0.2859 | Best test Accuracy 0.2864
Epoch 0025/1000| Loss 1.5721 | Train Accuracy 0.2786 | Val Accuracy 0.2785 | Test Accuracy 0.2799 | Best val. Accuracy 0.2859 | Best test Accuracy 0.2864
Epoch 0026/1000| Loss 1.5209 | Train Accuracy 0.2820 | Val Accuracy 0.2815 | Test Accuracy 0.2830 | Best val. Accuracy 0.2859 | Best test Accuracy 0.2864
Epoch 0027/1000| Loss 1.4449 | Train Accuracy 0.2721 | Val Accuracy 0.2718 | Test Accuracy 0.2731 | Best val. Accuracy 0.2859 | Best test Accuracy 0.2864
Epoch 0028/1000| Loss 1.3656 | Train Accuracy 0.2529 | Val Accuracy 0.2525 | Test Accuracy 0.2540 | Best val. Accuracy 0.2859 | Best test Accuracy 0.2864
Epoch 0029/1000| Loss 1.2974 | Train Accuracy 0.2492 | Val Accuracy 0.2488 | Test Accuracy 0.2496 | Best val. Accuracy 0.2859 | Best test Accuracy 0.2864
Epoch 0030/1000| Loss 1.2590 | Train Accuracy 0.2813 | Val Accuracy 0.2810 | Test Accuracy 0.2817 | Best val. Accuracy 0.2859 | Best test Accuracy 0.2864
Epoch 0031/1000| Loss 1.2579 | Train Accuracy 0.2826 | Val Accuracy 0.2828 | Test Accuracy 0.2832 | Best val. Accuracy 0.2859 | Best test Accuracy 0.2864
Epoch 0032/1000| Loss 1.1982 | Train Accuracy 0.2764 | Val Accuracy 0.2766 | Test Accuracy 0.2779 | Best val. Accuracy 0.2859 | Best test Accuracy 0.2864
Epoch 0033/1000| Loss 1.1455 | Train Accuracy 0.2700 | Val Accuracy 0.2700 | Test Accuracy 0.2714 | Best val. Accuracy 0.2859 | Best test Accuracy 0.2864
Epoch 0034/1000| Loss 1.1429 | Train Accuracy 0.2819 | Val Accuracy 0.2816 | Test Accuracy 0.2833 | Best val. Accuracy 0.2859 | Best test Accuracy 0.2864
Epoch 0035/1000| Loss 1.0838 | Train Accuracy 0.2738 | Val Accuracy 0.2735 | Test Accuracy 0.2750 | Best val. Accuracy 0.2859 | Best test Accuracy 0.2864
Epoch 0036/1000| Loss 1.0403 | Train Accuracy 0.2600 | Val Accuracy 0.2596 | Test Accuracy 0.2617 | Best val. Accuracy 0.2859 | Best test Accuracy 0.2864
Epoch 0037/1000| Loss 1.0205 | Train Accuracy 0.2728 | Val Accuracy 0.2726 | Test Accuracy 0.2739 | Best val. Accuracy 0.2859 | Best test Accuracy 0.2864
Epoch 0038/1000| Loss 0.9734 | Train Accuracy 0.2842 | Val Accuracy 0.2843 | Test Accuracy 0.2852 | Best val. Accuracy 0.2859 | Best test Accuracy 0.2864
Epoch 0039/1000| Loss 0.9232 | Train Accuracy 0.2953 | Val Accuracy 0.2950 | Test Accuracy 0.2969 | Best val. Accuracy 0.2950 | Best test Accuracy 0.2969
Epoch 0040: Avg Forward 60.913ms, Avg Backward 17.810ms, Total per epoch 78.724ms
Epoch 0040/1000| Loss 0.9048 | Train Accuracy 0.2826 | Val Accuracy 0.2824 | Test Accuracy 0.2839 | Best val. Accuracy 0.2950 | Best test Accuracy 0.2969
Epoch 0041/1000| Loss 0.8868 | Train Accuracy 0.2641 | Val Accuracy 0.2635 | Test Accuracy 0.2655 | Best val. Accuracy 0.2950 | Best test Accuracy 0.2969
Epoch 0042/1000| Loss 0.8644 | Train Accuracy 0.2642 | Val Accuracy 0.2636 | Test Accuracy 0.2651 | Best val. Accuracy 0.2950 | Best test Accuracy 0.2969
Epoch 0043/1000| Loss 0.8547 | Train Accuracy 0.2677 | Val Accuracy 0.2671 | Test Accuracy 0.2692 | Best val. Accuracy 0.2950 | Best test Accuracy 0.2969
Epoch 0044/1000| Loss 0.8226 | Train Accuracy 0.2773 | Val Accuracy 0.2773 | Test Accuracy 0.2790 | Best val. Accuracy 0.2950 | Best test Accuracy 0.2969
Epoch 0045/1000| Loss 0.7813 | Train Accuracy 0.2915 | Val Accuracy 0.2915 | Test Accuracy 0.2928 | Best val. Accuracy 0.2950 | Best test Accuracy 0.2969
Epoch 0046/1000| Loss 0.7656 | Train Accuracy 0.2822 | Val Accuracy 0.2824 | Test Accuracy 0.2837 | Best val. Accuracy 0.2950 | Best test Accuracy 0.2969
Epoch 0047/1000| Loss 0.7379 | Train Accuracy 0.2725 | Val Accuracy 0.2721 | Test Accuracy 0.2745 | Best val. Accuracy 0.2950 | Best test Accuracy 0.2969
Epoch 0048/1000| Loss 0.7223 | Train Accuracy 0.2636 | Val Accuracy 0.2633 | Test Accuracy 0.2651 | Best val. Accuracy 0.2950 | Best test Accuracy 0.2969
Epoch 0049/1000| Loss 0.7088 | Train Accuracy 0.2653 | Val Accuracy 0.2648 | Test Accuracy 0.2669 | Best val. Accuracy 0.2950 | Best test Accuracy 0.2969
Epoch 0050/1000| Loss 0.6831 | Train Accuracy 0.2740 | Val Accuracy 0.2737 | Test Accuracy 0.2756 | Best val. Accuracy 0.2950 | Best test Accuracy 0.2969
Epoch 0051/1000| Loss 0.6716 | Train Accuracy 0.2784 | Val Accuracy 0.2783 | Test Accuracy 0.2799 | Best val. Accuracy 0.2950 | Best test Accuracy 0.2969
Epoch 0052/1000| Loss 0.6710 | Train Accuracy 0.2763 | Val Accuracy 0.2757 | Test Accuracy 0.2779 | Best val. Accuracy 0.2950 | Best test Accuracy 0.2969
Epoch 0053/1000| Loss 0.6478 | Train Accuracy 0.2522 | Val Accuracy 0.2514 | Test Accuracy 0.2533 | Best val. Accuracy 0.2950 | Best test Accuracy 0.2969
Epoch 0054/1000| Loss 0.6291 | Train Accuracy 0.2672 | Val Accuracy 0.2668 | Test Accuracy 0.2687 | Best val. Accuracy 0.2950 | Best test Accuracy 0.2969
Epoch 0055/1000| Loss 0.6290 | Train Accuracy 0.2882 | Val Accuracy 0.2883 | Test Accuracy 0.2897 | Best val. Accuracy 0.2950 | Best test Accuracy 0.2969
Epoch 0056/1000| Loss 0.6093 | Train Accuracy 0.2826 | Val Accuracy 0.2827 | Test Accuracy 0.2843 | Best val. Accuracy 0.2950 | Best test Accuracy 0.2969
Epoch 0057/1000| Loss 0.5896 | Train Accuracy 0.2802 | Val Accuracy 0.2798 | Test Accuracy 0.2818 | Best val. Accuracy 0.2950 | Best test Accuracy 0.2969
Epoch 0058/1000| Loss 0.5894 | Train Accuracy 0.2587 | Val Accuracy 0.2582 | Test Accuracy 0.2604 | Best val. Accuracy 0.2950 | Best test Accuracy 0.2969
Epoch 0059/1000| Loss 0.5630 | Train Accuracy 0.2669 | Val Accuracy 0.2663 | Test Accuracy 0.2683 | Best val. Accuracy 0.2950 | Best test Accuracy 0.2969
Epoch 0060: Avg Forward 60.915ms, Avg Backward 17.813ms, Total per epoch 78.728ms
