
Parameters:
DATA_PATH=./data/
DATASET=yelp
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=16
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=gcn
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=False
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with DGL built-in convolution modules
Creating GCN model...
Using standard DGL GCN model
Model parameters: 300,900 total, 300,900 trainable
Graph statistics: 716847 nodes, 13954819 edges
Average degree: 19.47
Feature dimension: 300, Hidden dimension: 256
MaxK value: 16, Nonlinearity: maxk
Starting training...
Epoch 0000/1000| Loss 0.6954 | Train Accuracy 0.1907 | Val Accuracy 0.1900 | Test Accuracy 0.1900 | Best val. Accuracy 0.1900 | Best test Accuracy 0.1900
Epoch 0001/1000| Loss 0.5832 | Train Accuracy 0.1646 | Val Accuracy 0.1644 | Test Accuracy 0.1647 | Best val. Accuracy 0.1900 | Best test Accuracy 0.1900
Epoch 0002/1000| Loss 0.4600 | Train Accuracy 0.0490 | Val Accuracy 0.0491 | Test Accuracy 0.0493 | Best val. Accuracy 0.1900 | Best test Accuracy 0.1900
Epoch 0003/1000| Loss 0.4208 | Train Accuracy 0.2404 | Val Accuracy 0.2405 | Test Accuracy 0.2401 | Best val. Accuracy 0.2405 | Best test Accuracy 0.2401
Epoch 0004/1000| Loss 0.3995 | Train Accuracy 0.2300 | Val Accuracy 0.2305 | Test Accuracy 0.2300 | Best val. Accuracy 0.2405 | Best test Accuracy 0.2401
Epoch 0005/1000| Loss 0.3474 | Train Accuracy 0.1986 | Val Accuracy 0.1988 | Test Accuracy 0.1985 | Best val. Accuracy 0.2405 | Best test Accuracy 0.2401
Epoch 0006/1000| Loss 0.3391 | Train Accuracy 0.1417 | Val Accuracy 0.1424 | Test Accuracy 0.1422 | Best val. Accuracy 0.2405 | Best test Accuracy 0.2401
Epoch 0007/1000| Loss 0.3244 | Train Accuracy 0.1455 | Val Accuracy 0.1461 | Test Accuracy 0.1459 | Best val. Accuracy 0.2405 | Best test Accuracy 0.2401
Epoch 0008/1000| Loss 0.3167 | Train Accuracy 0.1445 | Val Accuracy 0.1450 | Test Accuracy 0.1450 | Best val. Accuracy 0.2405 | Best test Accuracy 0.2401
Epoch 0009/1000| Loss 0.3088 | Train Accuracy 0.1657 | Val Accuracy 0.1663 | Test Accuracy 0.1661 | Best val. Accuracy 0.2405 | Best test Accuracy 0.2401
Epoch 0010/1000| Loss 0.2998 | Train Accuracy 0.1415 | Val Accuracy 0.1421 | Test Accuracy 0.1418 | Best val. Accuracy 0.2405 | Best test Accuracy 0.2401
Epoch 0011/1000| Loss 0.2915 | Train Accuracy 0.1415 | Val Accuracy 0.1422 | Test Accuracy 0.1419 | Best val. Accuracy 0.2405 | Best test Accuracy 0.2401
