
Parameters:
DATA_PATH=./data/
DATASET=yelp
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=16
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=gin
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=False
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with DGL built-in convolution modules
Creating GIN model...
Using standard DGL GIN model
Model parameters: 300,135 total, 300,135 trainable
Graph statistics: 716847 nodes, 13954819 edges
Average degree: 19.47
Feature dimension: 300, Hidden dimension: 256
MaxK value: 16, Nonlinearity: maxk
Starting training...
Epoch 0000/1000| Loss 65102.3945 | Train Accuracy 0.1876 | Val Accuracy 0.1866 | Test Accuracy 0.1870 | Best val. Accuracy 0.1866 | Best test Accuracy 0.1870
Epoch 0001/1000| Loss 217317.3750 | Train Accuracy 0.1942 | Val Accuracy 0.1935 | Test Accuracy 0.1934 | Best val. Accuracy 0.1935 | Best test Accuracy 0.1934
Epoch 0002/1000| Loss 229288.6719 | Train Accuracy 0.2081 | Val Accuracy 0.2072 | Test Accuracy 0.2072 | Best val. Accuracy 0.2072 | Best test Accuracy 0.2072
Epoch 0003/1000| Loss 79468.3594 | Train Accuracy 0.2006 | Val Accuracy 0.1997 | Test Accuracy 0.1996 | Best val. Accuracy 0.2072 | Best test Accuracy 0.2072
Epoch 0004/1000| Loss 29270.1309 | Train Accuracy 0.1978 | Val Accuracy 0.1971 | Test Accuracy 0.1972 | Best val. Accuracy 0.2072 | Best test Accuracy 0.2072
Epoch 0005/1000| Loss 19088.3164 | Train Accuracy 0.2034 | Val Accuracy 0.2025 | Test Accuracy 0.2024 | Best val. Accuracy 0.2072 | Best test Accuracy 0.2072
Epoch 0006/1000| Loss 12279.3467 | Train Accuracy 0.2005 | Val Accuracy 0.1996 | Test Accuracy 0.1997 | Best val. Accuracy 0.2072 | Best test Accuracy 0.2072
Epoch 0007/1000| Loss 6571.0083 | Train Accuracy 0.2166 | Val Accuracy 0.2156 | Test Accuracy 0.2158 | Best val. Accuracy 0.2156 | Best test Accuracy 0.2158
Epoch 0008/1000| Loss 3760.0405 | Train Accuracy 0.2269 | Val Accuracy 0.2264 | Test Accuracy 0.2261 | Best val. Accuracy 0.2264 | Best test Accuracy 0.2261
Epoch 0009/1000| Loss 1604.5520 | Train Accuracy 0.2217 | Val Accuracy 0.2207 | Test Accuracy 0.2202 | Best val. Accuracy 0.2264 | Best test Accuracy 0.2261
Epoch 0010/1000| Loss 2107.5447 | Train Accuracy 0.2232 | Val Accuracy 0.2224 | Test Accuracy 0.2222 | Best val. Accuracy 0.2264 | Best test Accuracy 0.2261
Epoch 0011/1000| Loss 1250.7111 | Train Accuracy 0.2136 | Val Accuracy 0.2126 | Test Accuracy 0.2124 | Best val. Accuracy 0.2264 | Best test Accuracy 0.2261
Epoch 0012/1000| Loss 371.8537 | Train Accuracy 0.2083 | Val Accuracy 0.2073 | Test Accuracy 0.2078 | Best val. Accuracy 0.2264 | Best test Accuracy 0.2261
Epoch 0013/1000| Loss 290.6921 | Train Accuracy 0.1969 | Val Accuracy 0.1961 | Test Accuracy 0.1964 | Best val. Accuracy 0.2264 | Best test Accuracy 0.2261
Epoch 0014/1000| Loss 227.0400 | Train Accuracy 0.1885 | Val Accuracy 0.1877 | Test Accuracy 0.1879 | Best val. Accuracy 0.2264 | Best test Accuracy 0.2261
Epoch 0015/1000| Loss 385.2905 | Train Accuracy 0.1992 | Val Accuracy 0.1982 | Test Accuracy 0.1985 | Best val. Accuracy 0.2264 | Best test Accuracy 0.2261
Epoch 0016/1000| Loss 179.4294 | Train Accuracy 0.2328 | Val Accuracy 0.2319 | Test Accuracy 0.2327 | Best val. Accuracy 0.2319 | Best test Accuracy 0.2327
Epoch 0017/1000| Loss 73.6937 | Train Accuracy 0.2077 | Val Accuracy 0.2072 | Test Accuracy 0.2075 | Best val. Accuracy 0.2319 | Best test Accuracy 0.2327
Epoch 0018/1000| Loss 136.5314 | Train Accuracy 0.1888 | Val Accuracy 0.1881 | Test Accuracy 0.1882 | Best val. Accuracy 0.2319 | Best test Accuracy 0.2327
Epoch 0019/1000| Loss 246.4503 | Train Accuracy 0.1841 | Val Accuracy 0.1833 | Test Accuracy 0.1837 | Best val. Accuracy 0.2319 | Best test Accuracy 0.2327
Epoch 0020: Avg Forward 55.738ms, Avg Backward 25.674ms, Total per epoch 81.412ms
Epoch 0020/1000| Loss 169.5503 | Train Accuracy 0.1750 | Val Accuracy 0.1741 | Test Accuracy 0.1745 | Best val. Accuracy 0.2319 | Best test Accuracy 0.2327
Epoch 0021/1000| Loss 115.8535 | Train Accuracy 0.2117 | Val Accuracy 0.2109 | Test Accuracy 0.2112 | Best val. Accuracy 0.2319 | Best test Accuracy 0.2327
Epoch 0022/1000| Loss 69.0861 | Train Accuracy 0.1993 | Val Accuracy 0.1985 | Test Accuracy 0.1984 | Best val. Accuracy 0.2319 | Best test Accuracy 0.2327
Epoch 0023/1000| Loss 75.1766 | Train Accuracy 0.1777 | Val Accuracy 0.1767 | Test Accuracy 0.1769 | Best val. Accuracy 0.2319 | Best test Accuracy 0.2327
Epoch 0024/1000| Loss 124.8886 | Train Accuracy 0.1714 | Val Accuracy 0.1709 | Test Accuracy 0.1712 | Best val. Accuracy 0.2319 | Best test Accuracy 0.2327
Epoch 0025/1000| Loss 47.6857 | Train Accuracy 0.1938 | Val Accuracy 0.1929 | Test Accuracy 0.1934 | Best val. Accuracy 0.2319 | Best test Accuracy 0.2327
Epoch 0026/1000| Loss 173.3897 | Train Accuracy 0.2520 | Val Accuracy 0.2516 | Test Accuracy 0.2516 | Best val. Accuracy 0.2516 | Best test Accuracy 0.2516
Epoch 0027/1000| Loss 109.3174 | Train Accuracy 0.2468 | Val Accuracy 0.2463 | Test Accuracy 0.2468 | Best val. Accuracy 0.2516 | Best test Accuracy 0.2516
Epoch 0028/1000| Loss 73.7992 | Train Accuracy 0.1910 | Val Accuracy 0.1902 | Test Accuracy 0.1902 | Best val. Accuracy 0.2516 | Best test Accuracy 0.2516
Epoch 0029/1000| Loss 36.5055 | Train Accuracy 0.2190 | Val Accuracy 0.2182 | Test Accuracy 0.2183 | Best val. Accuracy 0.2516 | Best test Accuracy 0.2516
Epoch 0030/1000| Loss 50.9342 | Train Accuracy 0.2221 | Val Accuracy 0.2218 | Test Accuracy 0.2220 | Best val. Accuracy 0.2516 | Best test Accuracy 0.2516
Epoch 0031/1000| Loss 73.1887 | Train Accuracy 0.2601 | Val Accuracy 0.2603 | Test Accuracy 0.2604 | Best val. Accuracy 0.2603 | Best test Accuracy 0.2604
Epoch 0032/1000| Loss 69.4689 | Train Accuracy 0.1850 | Val Accuracy 0.1844 | Test Accuracy 0.1842 | Best val. Accuracy 0.2603 | Best test Accuracy 0.2604
Epoch 0033/1000| Loss 60.3634 | Train Accuracy 0.2435 | Val Accuracy 0.2428 | Test Accuracy 0.2428 | Best val. Accuracy 0.2603 | Best test Accuracy 0.2604
Epoch 0034/1000| Loss 73.9940 | Train Accuracy 0.2378 | Val Accuracy 0.2370 | Test Accuracy 0.2374 | Best val. Accuracy 0.2603 | Best test Accuracy 0.2604
Epoch 0035/1000| Loss 45.1675 | Train Accuracy 0.1524 | Val Accuracy 0.1515 | Test Accuracy 0.1521 | Best val. Accuracy 0.2603 | Best test Accuracy 0.2604
