
Parameters:
DATA_PATH=./data/
DATASET=yelp
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=256
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=gin
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=True
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with MaxK CUDA kernel acceleration
Graph name for metadata: yelp
Kernel mode: auto
Creating GIN model...
Using MaxK-accelerated GIN model
Model parameters: 300,135 total, 300,135 trainable
Graph statistics: 716847 nodes, 13954819 edges
Average degree: 19.47
Feature dimension: 300, Hidden dimension: 256
MaxK value: 256, Nonlinearity: maxk
Starting training...
Epoch 0000/1000| Loss 3.2485 | Train Accuracy 0.1605 | Val Accuracy 0.1595 | Test Accuracy 0.1597 | Best val. Accuracy 0.1595 | Best test Accuracy 0.1597
Epoch 0001/1000| Loss 21.2931 | Train Accuracy 0.1604 | Val Accuracy 0.1596 | Test Accuracy 0.1596 | Best val. Accuracy 0.1596 | Best test Accuracy 0.1596
Epoch 0002/1000| Loss 19.1510 | Train Accuracy 0.1937 | Val Accuracy 0.1940 | Test Accuracy 0.1937 | Best val. Accuracy 0.1940 | Best test Accuracy 0.1937
Epoch 0003/1000| Loss 3.0982 | Train Accuracy 0.1812 | Val Accuracy 0.1809 | Test Accuracy 0.1808 | Best val. Accuracy 0.1940 | Best test Accuracy 0.1937
Epoch 0004/1000| Loss 1.3957 | Train Accuracy 0.2044 | Val Accuracy 0.2038 | Test Accuracy 0.2036 | Best val. Accuracy 0.2038 | Best test Accuracy 0.2036
Epoch 0005/1000| Loss 0.6279 | Train Accuracy 0.2089 | Val Accuracy 0.2083 | Test Accuracy 0.2078 | Best val. Accuracy 0.2083 | Best test Accuracy 0.2078
Epoch 0006/1000| Loss 0.4793 | Train Accuracy 0.2157 | Val Accuracy 0.2154 | Test Accuracy 0.2149 | Best val. Accuracy 0.2154 | Best test Accuracy 0.2149
Epoch 0007/1000| Loss 0.4390 | Train Accuracy 0.2228 | Val Accuracy 0.2224 | Test Accuracy 0.2219 | Best val. Accuracy 0.2224 | Best test Accuracy 0.2219
Epoch 0008/1000| Loss 0.4057 | Train Accuracy 0.2582 | Val Accuracy 0.2584 | Test Accuracy 0.2580 | Best val. Accuracy 0.2584 | Best test Accuracy 0.2580
Epoch 0009/1000| Loss 0.3674 | Train Accuracy 0.1418 | Val Accuracy 0.1424 | Test Accuracy 0.1422 | Best val. Accuracy 0.2584 | Best test Accuracy 0.2580
Epoch 0010/1000| Loss 0.3355 | Train Accuracy 0.2157 | Val Accuracy 0.2157 | Test Accuracy 0.2160 | Best val. Accuracy 0.2584 | Best test Accuracy 0.2580
Epoch 0011/1000| Loss 0.3740 | Train Accuracy 0.2265 | Val Accuracy 0.2264 | Test Accuracy 0.2263 | Best val. Accuracy 0.2584 | Best test Accuracy 0.2580
Epoch 0012/1000| Loss 0.4430 | Train Accuracy 0.2198 | Val Accuracy 0.2200 | Test Accuracy 0.2204 | Best val. Accuracy 0.2584 | Best test Accuracy 0.2580
Epoch 0013/1000| Loss 0.3543 | Train Accuracy 0.1415 | Val Accuracy 0.1422 | Test Accuracy 0.1419 | Best val. Accuracy 0.2584 | Best test Accuracy 0.2580
Epoch 0014/1000| Loss 0.3693 | Train Accuracy 0.1415 | Val Accuracy 0.1422 | Test Accuracy 0.1419 | Best val. Accuracy 0.2584 | Best test Accuracy 0.2580
Epoch 0015/1000| Loss 0.3837 | Train Accuracy 0.1712 | Val Accuracy 0.1716 | Test Accuracy 0.1714 | Best val. Accuracy 0.2584 | Best test Accuracy 0.2580
Epoch 0016/1000| Loss 0.3609 | Train Accuracy 0.2750 | Val Accuracy 0.2750 | Test Accuracy 0.2745 | Best val. Accuracy 0.2750 | Best test Accuracy 0.2745
Epoch 0017/1000| Loss 0.3411 | Train Accuracy 0.1748 | Val Accuracy 0.1752 | Test Accuracy 0.1751 | Best val. Accuracy 0.2750 | Best test Accuracy 0.2745
Epoch 0018/1000| Loss 0.3257 | Train Accuracy 0.1415 | Val Accuracy 0.1422 | Test Accuracy 0.1419 | Best val. Accuracy 0.2750 | Best test Accuracy 0.2745
Epoch 0019/1000| Loss 0.2996 | Train Accuracy 0.1597 | Val Accuracy 0.1602 | Test Accuracy 0.1601 | Best val. Accuracy 0.2750 | Best test Accuracy 0.2745
Epoch 0020: Avg Forward 130.878ms, Avg Backward 48.392ms, Total per epoch 179.270ms
Epoch 0020/1000| Loss 0.3524 | Train Accuracy 0.1597 | Val Accuracy 0.1602 | Test Accuracy 0.1601 | Best val. Accuracy 0.2750 | Best test Accuracy 0.2745
Epoch 0021/1000| Loss 0.3567 | Train Accuracy 0.1415 | Val Accuracy 0.1422 | Test Accuracy 0.1419 | Best val. Accuracy 0.2750 | Best test Accuracy 0.2745
Epoch 0022/1000| Loss 0.3075 | Train Accuracy 0.2303 | Val Accuracy 0.2305 | Test Accuracy 0.2303 | Best val. Accuracy 0.2750 | Best test Accuracy 0.2745
Epoch 0023/1000| Loss 0.3265 | Train Accuracy 0.2358 | Val Accuracy 0.2362 | Test Accuracy 0.2360 | Best val. Accuracy 0.2750 | Best test Accuracy 0.2745
Epoch 0024/1000| Loss 0.3309 | Train Accuracy 0.2358 | Val Accuracy 0.2361 | Test Accuracy 0.2360 | Best val. Accuracy 0.2750 | Best test Accuracy 0.2745
Epoch 0025/1000| Loss 0.3476 | Train Accuracy 0.2358 | Val Accuracy 0.2361 | Test Accuracy 0.2360 | Best val. Accuracy 0.2750 | Best test Accuracy 0.2745
Epoch 0026/1000| Loss 0.3234 | Train Accuracy 0.2358 | Val Accuracy 0.2361 | Test Accuracy 0.2360 | Best val. Accuracy 0.2750 | Best test Accuracy 0.2745
Epoch 0027/1000| Loss 0.3254 | Train Accuracy 0.1416 | Val Accuracy 0.1422 | Test Accuracy 0.1420 | Best val. Accuracy 0.2750 | Best test Accuracy 0.2745
Epoch 0028/1000| Loss 0.3037 | Train Accuracy 0.1416 | Val Accuracy 0.1422 | Test Accuracy 0.1420 | Best val. Accuracy 0.2750 | Best test Accuracy 0.2745
Epoch 0029/1000| Loss 0.3250 | Train Accuracy 0.1416 | Val Accuracy 0.1423 | Test Accuracy 0.1420 | Best val. Accuracy 0.2750 | Best test Accuracy 0.2745
Epoch 0030/1000| Loss 0.3279 | Train Accuracy 0.1416 | Val Accuracy 0.1422 | Test Accuracy 0.1420 | Best val. Accuracy 0.2750 | Best test Accuracy 0.2745
Epoch 0031/1000| Loss 0.2846 | Train Accuracy 0.1416 | Val Accuracy 0.1422 | Test Accuracy 0.1420 | Best val. Accuracy 0.2750 | Best test Accuracy 0.2745
Epoch 0032/1000| Loss 0.2892 | Train Accuracy 0.2337 | Val Accuracy 0.2342 | Test Accuracy 0.2338 | Best val. Accuracy 0.2750 | Best test Accuracy 0.2745
Epoch 0033/1000| Loss 0.3052 | Train Accuracy 0.1951 | Val Accuracy 0.1955 | Test Accuracy 0.1953 | Best val. Accuracy 0.2750 | Best test Accuracy 0.2745
Epoch 0034/1000| Loss 0.3048 | Train Accuracy 0.1416 | Val Accuracy 0.1423 | Test Accuracy 0.1420 | Best val. Accuracy 0.2750 | Best test Accuracy 0.2745
Epoch 0035/1000| Loss 0.2949 | Train Accuracy 0.1416 | Val Accuracy 0.1423 | Test Accuracy 0.1420 | Best val. Accuracy 0.2750 | Best test Accuracy 0.2745
Epoch 0036/1000| Loss 0.2835 | Train Accuracy 0.1416 | Val Accuracy 0.1423 | Test Accuracy 0.1420 | Best val. Accuracy 0.2750 | Best test Accuracy 0.2745
Epoch 0037/1000| Loss 0.2888 | Train Accuracy 0.1417 | Val Accuracy 0.1424 | Test Accuracy 0.1421 | Best val. Accuracy 0.2750 | Best test Accuracy 0.2745
Epoch 0038/1000| Loss 0.3012 | Train Accuracy 0.1416 | Val Accuracy 0.1423 | Test Accuracy 0.1420 | Best val. Accuracy 0.2750 | Best test Accuracy 0.2745
Epoch 0039/1000| Loss 0.2934 | Train Accuracy 0.1416 | Val Accuracy 0.1422 | Test Accuracy 0.1420 | Best val. Accuracy 0.2750 | Best test Accuracy 0.2745
Epoch 0040: Avg Forward 129.381ms, Avg Backward 48.380ms, Total per epoch 177.761ms
Epoch 0040/1000| Loss 0.2837 | Train Accuracy 0.1416 | Val Accuracy 0.1423 | Test Accuracy 0.1420 | Best val. Accuracy 0.2750 | Best test Accuracy 0.2745
Epoch 0041/1000| Loss 0.2810 | Train Accuracy 0.1416 | Val Accuracy 0.1423 | Test Accuracy 0.1420 | Best val. Accuracy 0.2750 | Best test Accuracy 0.2745
Epoch 0042/1000| Loss 0.2845 | Train Accuracy 0.1416 | Val Accuracy 0.1422 | Test Accuracy 0.1420 | Best val. Accuracy 0.2750 | Best test Accuracy 0.2745
Epoch 0043/1000| Loss 0.2881 | Train Accuracy 0.1416 | Val Accuracy 0.1423 | Test Accuracy 0.1420 | Best val. Accuracy 0.2750 | Best test Accuracy 0.2745
Epoch 0044/1000| Loss 0.2821 | Train Accuracy 0.1416 | Val Accuracy 0.1422 | Test Accuracy 0.1420 | Best val. Accuracy 0.2750 | Best test Accuracy 0.2745
Epoch 0045/1000| Loss 0.2764 | Train Accuracy 0.1416 | Val Accuracy 0.1422 | Test Accuracy 0.1420 | Best val. Accuracy 0.2750 | Best test Accuracy 0.2745
Epoch 0046/1000| Loss 0.2845 | Train Accuracy 0.1417 | Val Accuracy 0.1424 | Test Accuracy 0.1421 | Best val. Accuracy 0.2750 | Best test Accuracy 0.2745
Epoch 0047/1000| Loss 0.2902 | Train Accuracy 0.1416 | Val Accuracy 0.1422 | Test Accuracy 0.1420 | Best val. Accuracy 0.2750 | Best test Accuracy 0.2745
Epoch 0048/1000| Loss 0.2820 | Train Accuracy 0.1416 | Val Accuracy 0.1422 | Test Accuracy 0.1420 | Best val. Accuracy 0.2750 | Best test Accuracy 0.2745
Epoch 0049/1000| Loss 0.2966 | Train Accuracy 0.1940 | Val Accuracy 0.1946 | Test Accuracy 0.1945 | Best val. Accuracy 0.2750 | Best test Accuracy 0.2745
Epoch 0050/1000| Loss 0.3071 | Train Accuracy 0.1421 | Val Accuracy 0.1428 | Test Accuracy 0.1426 | Best val. Accuracy 0.2750 | Best test Accuracy 0.2745
Epoch 0051/1000| Loss 0.2973 | Train Accuracy 0.2761 | Val Accuracy 0.2760 | Test Accuracy 0.2758 | Best val. Accuracy 0.2760 | Best test Accuracy 0.2758
Epoch 0052/1000| Loss 0.3140 | Train Accuracy 0.1416 | Val Accuracy 0.1422 | Test Accuracy 0.1420 | Best val. Accuracy 0.2760 | Best test Accuracy 0.2758
Epoch 0053/1000| Loss 0.2876 | Train Accuracy 0.1416 | Val Accuracy 0.1422 | Test Accuracy 0.1420 | Best val. Accuracy 0.2760 | Best test Accuracy 0.2758
Epoch 0054/1000| Loss 0.2927 | Train Accuracy 0.1416 | Val Accuracy 0.1422 | Test Accuracy 0.1420 | Best val. Accuracy 0.2760 | Best test Accuracy 0.2758
Epoch 0055/1000| Loss 0.2759 | Train Accuracy 0.1415 | Val Accuracy 0.1422 | Test Accuracy 0.1420 | Best val. Accuracy 0.2760 | Best test Accuracy 0.2758
Epoch 0056/1000| Loss 0.2995 | Train Accuracy 0.1416 | Val Accuracy 0.1422 | Test Accuracy 0.1420 | Best val. Accuracy 0.2760 | Best test Accuracy 0.2758
Epoch 0057/1000| Loss 0.3029 | Train Accuracy 0.1416 | Val Accuracy 0.1422 | Test Accuracy 0.1420 | Best val. Accuracy 0.2760 | Best test Accuracy 0.2758
Epoch 0058/1000| Loss 0.3119 | Train Accuracy 0.1416 | Val Accuracy 0.1422 | Test Accuracy 0.1420 | Best val. Accuracy 0.2760 | Best test Accuracy 0.2758
Epoch 0059/1000| Loss 0.2739 | Train Accuracy 0.1905 | Val Accuracy 0.1911 | Test Accuracy 0.1910 | Best val. Accuracy 0.2760 | Best test Accuracy 0.2758
Epoch 0060: Avg Forward 128.606ms, Avg Backward 48.376ms, Total per epoch 176.981ms
Epoch 0060/1000| Loss 0.3514 | Train Accuracy 0.1416 | Val Accuracy 0.1422 | Test Accuracy 0.1420 | Best val. Accuracy 0.2760 | Best test Accuracy 0.2758
Epoch 0061/1000| Loss 0.3214 | Train Accuracy 0.1416 | Val Accuracy 0.1423 | Test Accuracy 0.1420 | Best val. Accuracy 0.2760 | Best test Accuracy 0.2758
Epoch 0062/1000| Loss 0.3860 | Train Accuracy 0.1416 | Val Accuracy 0.1422 | Test Accuracy 0.1420 | Best val. Accuracy 0.2760 | Best test Accuracy 0.2758
Epoch 0063/1000| Loss 0.3658 | Train Accuracy 0.1415 | Val Accuracy 0.1422 | Test Accuracy 0.1420 | Best val. Accuracy 0.2760 | Best test Accuracy 0.2758
Epoch 0064/1000| Loss 0.2968 | Train Accuracy 0.2558 | Val Accuracy 0.2558 | Test Accuracy 0.2558 | Best val. Accuracy 0.2760 | Best test Accuracy 0.2758
Epoch 0065/1000| Loss 0.3190 | Train Accuracy 0.1905 | Val Accuracy 0.1911 | Test Accuracy 0.1910 | Best val. Accuracy 0.2760 | Best test Accuracy 0.2758
Epoch 0066/1000| Loss 0.3059 | Train Accuracy 0.1415 | Val Accuracy 0.1422 | Test Accuracy 0.1420 | Best val. Accuracy 0.2760 | Best test Accuracy 0.2758
Epoch 0067/1000| Loss 0.2792 | Train Accuracy 0.1416 | Val Accuracy 0.1422 | Test Accuracy 0.1420 | Best val. Accuracy 0.2760 | Best test Accuracy 0.2758
Epoch 0068/1000| Loss 0.3048 | Train Accuracy 0.1416 | Val Accuracy 0.1422 | Test Accuracy 0.1420 | Best val. Accuracy 0.2760 | Best test Accuracy 0.2758
Epoch 0069/1000| Loss 0.3065 | Train Accuracy 0.1416 | Val Accuracy 0.1422 | Test Accuracy 0.1420 | Best val. Accuracy 0.2760 | Best test Accuracy 0.2758
