
Parameters:
DATA_PATH=./data/
DATASET=yelp
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=256
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=sage
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=True
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with MaxK CUDA kernel acceleration
Graph name for metadata: yelp
Kernel mode: auto
Creating SAGE model...
Using MaxK-accelerated SAGE model
Model parameters: 496,740 total, 496,740 trainable
Graph statistics: 716847 nodes, 13954819 edges
Average degree: 19.47
Feature dimension: 300, Hidden dimension: 256
MaxK value: 256, Nonlinearity: maxk
Starting training...
Epoch 0000/1000| Loss 5.9865 | Train Accuracy 0.1687 | Val Accuracy 0.1676 | Test Accuracy 0.1679 | Best val. Accuracy 0.1676 | Best test Accuracy 0.1679
Epoch 0001/1000| Loss 16.0437 | Train Accuracy 0.1423 | Val Accuracy 0.1415 | Test Accuracy 0.1419 | Best val. Accuracy 0.1676 | Best test Accuracy 0.1679
Epoch 0002/1000| Loss 40.0732 | Train Accuracy 0.2311 | Val Accuracy 0.2313 | Test Accuracy 0.2311 | Best val. Accuracy 0.2313 | Best test Accuracy 0.2311
Epoch 0003/1000| Loss 33.4968 | Train Accuracy 0.1519 | Val Accuracy 0.1508 | Test Accuracy 0.1511 | Best val. Accuracy 0.2313 | Best test Accuracy 0.2311
Epoch 0004/1000| Loss 373.6388 | Train Accuracy 0.2792 | Val Accuracy 0.2784 | Test Accuracy 0.2783 | Best val. Accuracy 0.2784 | Best test Accuracy 0.2783
Epoch 0005/1000| Loss 56.9358 | Train Accuracy 0.1580 | Val Accuracy 0.1581 | Test Accuracy 0.1575 | Best val. Accuracy 0.2784 | Best test Accuracy 0.2783
Epoch 0006/1000| Loss 77.5358 | Train Accuracy 0.1767 | Val Accuracy 0.1763 | Test Accuracy 0.1764 | Best val. Accuracy 0.2784 | Best test Accuracy 0.2783
Epoch 0007/1000| Loss 55.8956 | Train Accuracy 0.2296 | Val Accuracy 0.2289 | Test Accuracy 0.2293 | Best val. Accuracy 0.2784 | Best test Accuracy 0.2783
Epoch 0008/1000| Loss 44.2834 | Train Accuracy 0.1559 | Val Accuracy 0.1558 | Test Accuracy 0.1558 | Best val. Accuracy 0.2784 | Best test Accuracy 0.2783
Epoch 0009/1000| Loss 64.4052 | Train Accuracy 0.1463 | Val Accuracy 0.1456 | Test Accuracy 0.1455 | Best val. Accuracy 0.2784 | Best test Accuracy 0.2783
Epoch 0010/1000| Loss 131.8459 | Train Accuracy 0.2471 | Val Accuracy 0.2469 | Test Accuracy 0.2476 | Best val. Accuracy 0.2784 | Best test Accuracy 0.2783
