
Parameters:
DATA_PATH=./data/
DATASET=yelp
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=4
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=sage
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=False
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with DGL built-in convolution modules
Creating SAGE model...
Using standard DGL SAGE model
Model parameters: 496,740 total, 496,740 trainable
Graph statistics: 716847 nodes, 13954819 edges
Average degree: 19.47
Feature dimension: 300, Hidden dimension: 256
MaxK value: 4, Nonlinearity: maxk
Starting training...
Epoch 0000/1000| Loss 0.7164 | Train Accuracy 0.0915 | Val Accuracy 0.0911 | Test Accuracy 0.0913 | Best val. Accuracy 0.0911 | Best test Accuracy 0.0913
Epoch 0001/1000| Loss 0.6458 | Train Accuracy 0.1210 | Val Accuracy 0.1216 | Test Accuracy 0.1213 | Best val. Accuracy 0.1216 | Best test Accuracy 0.1213
Epoch 0002/1000| Loss 0.5120 | Train Accuracy 0.1414 | Val Accuracy 0.1420 | Test Accuracy 0.1418 | Best val. Accuracy 0.1420 | Best test Accuracy 0.1418
Epoch 0003/1000| Loss 0.3433 | Train Accuracy 0.1416 | Val Accuracy 0.1422 | Test Accuracy 0.1419 | Best val. Accuracy 0.1422 | Best test Accuracy 0.1419
Epoch 0004/1000| Loss 0.4162 | Train Accuracy 0.1522 | Val Accuracy 0.1529 | Test Accuracy 0.1529 | Best val. Accuracy 0.1529 | Best test Accuracy 0.1529
Epoch 0005/1000| Loss 0.4526 | Train Accuracy 0.2606 | Val Accuracy 0.2609 | Test Accuracy 0.2608 | Best val. Accuracy 0.2609 | Best test Accuracy 0.2608
Epoch 0006/1000| Loss 0.3371 | Train Accuracy 0.2708 | Val Accuracy 0.2710 | Test Accuracy 0.2704 | Best val. Accuracy 0.2710 | Best test Accuracy 0.2704
Epoch 0007/1000| Loss 0.3129 | Train Accuracy 0.2507 | Val Accuracy 0.2507 | Test Accuracy 0.2504 | Best val. Accuracy 0.2710 | Best test Accuracy 0.2704
Epoch 0008/1000| Loss 0.3196 | Train Accuracy 0.2257 | Val Accuracy 0.2266 | Test Accuracy 0.2255 | Best val. Accuracy 0.2710 | Best test Accuracy 0.2704
Epoch 0009/1000| Loss 0.3322 | Train Accuracy 0.1600 | Val Accuracy 0.1607 | Test Accuracy 0.1604 | Best val. Accuracy 0.2710 | Best test Accuracy 0.2704
Epoch 0010/1000| Loss 0.3115 | Train Accuracy 0.1418 | Val Accuracy 0.1425 | Test Accuracy 0.1422 | Best val. Accuracy 0.2710 | Best test Accuracy 0.2704
Epoch 0011/1000| Loss 0.3116 | Train Accuracy 0.1415 | Val Accuracy 0.1422 | Test Accuracy 0.1419 | Best val. Accuracy 0.2710 | Best test Accuracy 0.2704
Epoch 0012/1000| Loss 0.2929 | Train Accuracy 0.1415 | Val Accuracy 0.1422 | Test Accuracy 0.1419 | Best val. Accuracy 0.2710 | Best test Accuracy 0.2704
